Record ID,Paper ID,Year,species name,taxon,population,study coordinates,population type,study type,sex,age,# id/pedigree,# records,# id w records,# sires,# dams,# families,depth of ped,trait name,trait category,Mean standardized,Trait mean,Variance standardized,Trait SD,treatment/group,fixed eff of partner trait,other fixed eff,Mean group size,VA,V IGE,VPE (foc),VPE (soc),V other 1,V other 2,V other 3,V other 4,V other 5,V other 6,V residual,Total V phen,h2,social_h2,r A-IGE,r PE-PE(S),cov A-IGE,cov  PE-PE(S),V_tbv,T2,data location,Screener ID,notes,Second-Screener ID,Second-Screener notes,excluded_during_data_extraction,Decision,changes_after_second_screening,final comments,data_transf,trait_mean_transf,trait_error_distrib,estimates_scale_nongauss,vp_group_formula
11,IGE0406,NA,Drosophila serrata,arthropods,"Forster stock, University of Queensland, AUS",NA,captive,experimental,F,ad,NA,418,418,60,120,NA,NA,"Z,Z-5,9-C25:2",metabolism & physiology,No,NA,No,NA,NA,no,yes,2,0.187,0.068,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Table 2, Table 3",FS,"Info on sample sizes is taken from ref. 27, p 2328 (paper with same data but no IGEs estimated - sizes are 432 males, 418 females -how to pool?); info on model is on supplementary information online; a lot of info is missing on the other components in the model; as IGE and DGE are estimated in a variation of the animal model (IGE estimated on males, DGEs estimated on females),  I have interpreted IGEs as the effect of female genotype on male CHC but it is not clearly worded; sex is both since DGE are estimated on females and IGEs on males",MM,"MM: I dont understand your reporting of the pedigre stats. why only the first row has the 60 sires and 120 dams? and later, the same values than for the field? 2) for the sample size, I'd say we take the female one a sit is the DGE sex.  Then, we should also change sex to females, no?
",no,Revise,updated pedigree stats; sex assigned to F and sample size reported for F,"Info on sample sizes is taken from ref. 27, p 2328 (paper with same data but no IGEs estimated; info on model is on supplementary information online; a lot of info is missing on the other components in the model; as IGE and DGE are estimated in a variation of the animal model (IGE estimated on males, DGEs estimated on females),  I have interpreted IGEs as the effect of female genotype on male CHC; DGE are estimated on females and IGEs on males so sex is assigned to F",non_transf,NA,gaussian,NA,NA
12,IGE0406,NA,Drosophila serrata,arthropods,"Forster stock, University of Queensland, AUS",NA,captive,experimental,F,ad,NA,418,418,60,120,NA,NA,Z-9-C25:1,metabolism & physiology,No,NA,No,NA,NA,no,yes,2,0.116,0.217,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Table 2, Table 3",FS,"Info on sample sizes is taken from ref. 27, p 2328 (paper with same data but no IGEs estimated - sizes are 432 males, 418 females -how to pool?); info on model is on supplementary information online; a lot of info is missing on the other components in the model; as IGE and DGE are estimated in a variation of the animal model (IGE estimated on males, DGEs estimated on females),  I have interpreted IGEs as the effect of female genotype on male CHC but it is not clearly worded; sex is both since DGE are estimated on females and IGEs on males",MM,"MM: I dont understand your reporting of the pedigre stats. why only the first row has the 60 sires and 120 dams? and later, the same values than for the field? 2) for the sample size, I'd say we take the female one a sit is the DGE sex.  Then, we should also change sex to females, no?
",no,Revise,updated pedigree stats; sex assigned to F and sample size reported for F,"Info on sample sizes is taken from ref. 27, p 2328 (paper with same data but no IGEs estimated; info on model is on supplementary information online; a lot of info is missing on the other components in the model; as IGE and DGE are estimated in a variation of the animal model (IGE estimated on males, DGEs estimated on females),  I have interpreted IGEs as the effect of female genotype on male CHC; DGE are estimated on females and IGEs on males so sex is assigned to F",non_transf,NA,gaussian,NA,NA
13,IGE0406,NA,Drosophila serrata,arthropods,"Forster stock, University of Queensland, AUS",NA,captive,experimental,F,ad,NA,418,418,60,120,NA,NA,Z-9-C26:1,metabolism & physiology,No,NA,No,NA,NA,no,yes,2,0.168,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Table 2, Table 3",FS,"Info on sample sizes is taken from ref. 27, p 2328 (paper with same data but no IGEs estimated - sizes are 432 males, 418 females -how to pool?); info on model is on supplementary information online; a lot of info is missing on the other components in the model; as IGE and DGE are estimated in a variation of the animal model (IGE estimated on males, DGEs estimated on females),  I have interpreted IGEs as the effect of female genotype on male CHC but it is not clearly worded; sex is both since DGE are estimated on females and IGEs on males",MM,"MM: I dont understand your reporting of the pedigre stats. why only the first row has the 60 sires and 120 dams? and later, the same values than for the field? 2) for the sample size, I'd say we take the female one a sit is the DGE sex.  Then, we should also change sex to females, no?
",no,Revise,updated pedigree stats; sex assigned to F and sample size reported for F,"Info on sample sizes is taken from ref. 27, p 2328 (paper with same data but no IGEs estimated; info on model is on supplementary information online; a lot of info is missing on the other components in the model; as IGE and DGE are estimated in a variation of the animal model (IGE estimated on males, DGEs estimated on females),  I have interpreted IGEs as the effect of female genotype on male CHC; DGE are estimated on females and IGEs on males so sex is assigned to F",non_transf,NA,gaussian,NA,NA
14,IGE0406,NA,Drosophila serrata,arthropods,"Forster stock, University of Queensland, AUS",NA,captive,experimental,F,ad,NA,418,418,60,120,NA,NA,2-Me-C26,metabolism & physiology,No,NA,No,NA,NA,no,yes,2,0.055,0.252,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Table 2, Table 3",FS,"Info on sample sizes is taken from ref. 27, p 2328 (paper with same data but no IGEs estimated - sizes are 432 males, 418 females -how to pool?); info on model is on supplementary information online; a lot of info is missing on the other components in the model; as IGE and DGE are estimated in a variation of the animal model (IGE estimated on males, DGEs estimated on females),  I have interpreted IGEs as the effect of female genotype on male CHC but it is not clearly worded; sex is both since DGE are estimated on females and IGEs on males",MM,"MM: I dont understand your reporting of the pedigre stats. why only the first row has the 60 sires and 120 dams? and later, the same values than for the field? 2) for the sample size, I'd say we take the female one a sit is the DGE sex.  Then, we should also change sex to females, no?
",no,Revise,updated pedigree stats; sex assigned to F and sample size reported for F,"Info on sample sizes is taken from ref. 27, p 2328 (paper with same data but no IGEs estimated; info on model is on supplementary information online; a lot of info is missing on the other components in the model; as IGE and DGE are estimated in a variation of the animal model (IGE estimated on males, DGEs estimated on females),  I have interpreted IGEs as the effect of female genotype on male CHC; DGE are estimated on females and IGEs on males so sex is assigned to F",non_transf,NA,gaussian,NA,NA
15,IGE0406,NA,Drosophila serrata,arthropods,"Forster stock, University of Queensland, AUS",NA,captive,experimental,F,ad,NA,418,418,60,120,NA,NA,"Z,Z-5,9-C27:2",metabolism & physiology,No,NA,No,NA,NA,no,yes,2,0.32,0.107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Table 2, Table 3",FS,"Info on sample sizes is taken from ref. 27, p 2328 (paper with same data but no IGEs estimated - sizes are 432 males, 418 females -how to pool?); info on model is on supplementary information online; a lot of info is missing on the other components in the model; as IGE and DGE are estimated in a variation of the animal model (IGE estimated on males, DGEs estimated on females),  I have interpreted IGEs as the effect of female genotype on male CHC but it is not clearly worded; sex is both since DGE are estimated on females and IGEs on males",MM,"MM: I dont understand your reporting of the pedigre stats. why only the first row has the 60 sires and 120 dams? and later, the same values than for the field? 2) for the sample size, I'd say we take the female one a sit is the DGE sex.  Then, we should also change sex to females, no?
",no,Revise,updated pedigree stats; sex assigned to F and sample size reported for F,"Info on sample sizes is taken from ref. 27, p 2328 (paper with same data but no IGEs estimated; info on model is on supplementary information online; a lot of info is missing on the other components in the model; as IGE and DGE are estimated in a variation of the animal model (IGE estimated on males, DGEs estimated on females),  I have interpreted IGEs as the effect of female genotype on male CHC; DGE are estimated on females and IGEs on males so sex is assigned to F",non_transf,NA,gaussian,NA,NA
16,IGE0406,NA,Drosophila serrata,arthropods,"Forster stock, University of Queensland, AUS",NA,captive,experimental,F,ad,NA,418,418,60,120,NA,NA,2-Me-C28,metabolism & physiology,No,NA,No,NA,NA,no,yes,2,0.092,0.182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Table 2, Table 3",FS,"Info on sample sizes is taken from ref. 27, p 2328 (paper with same data but no IGEs estimated - sizes are 432 males, 418 females -how to pool?); info on model is on supplementary information online; a lot of info is missing on the other components in the model; as IGE and DGE are estimated in a variation of the animal model (IGE estimated on males, DGEs estimated on females),  I have interpreted IGEs as the effect of female genotype on male CHC but it is not clearly worded; sex is both since DGE are estimated on females and IGEs on males",MM,"MM: I dont understand your reporting of the pedigre stats. why only the first row has the 60 sires and 120 dams? and later, the same values than for the field? 2) for the sample size, I'd say we take the female one a sit is the DGE sex.  Then, we should also change sex to females, no?
",no,Revise,updated pedigree stats; sex assigned to F and sample size reported for F,"Info on sample sizes is taken from ref. 27, p 2328 (paper with same data but no IGEs estimated; info on model is on supplementary information online; a lot of info is missing on the other components in the model; as IGE and DGE are estimated in a variation of the animal model (IGE estimated on males, DGEs estimated on females),  I have interpreted IGEs as the effect of female genotype on male CHC; DGE are estimated on females and IGEs on males so sex is assigned to F",non_transf,NA,gaussian,NA,NA
17,IGE0406,NA,Drosophila serrata,arthropods,"Forster stock, University of Queensland, AUS",NA,captive,experimental,F,ad,NA,418,418,60,120,NA,NA,"Z,Z-5,9-C29:2",metabolism & physiology,No,NA,No,NA,NA,no,yes,2,0.267,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Table 2, Table 3",FS,"Info on sample sizes is taken from ref. 27, p 2328 (paper with same data but no IGEs estimated - sizes are 432 males, 418 females -how to pool?); info on model is on supplementary information online; a lot of info is missing on the other components in the model; as IGE and DGE are estimated in a variation of the animal model (IGE estimated on males, DGEs estimated on females),  I have interpreted IGEs as the effect of female genotype on male CHC but it is not clearly worded; sex is both since DGE are estimated on females and IGEs on males",MM,"MM: I dont understand your reporting of the pedigre stats. why only the first row has the 60 sires and 120 dams? and later, the same values than for the field? 2) for the sample size, I'd say we take the female one a sit is the DGE sex.  Then, we should also change sex to females, no?
",no,Revise,updated pedigree stats; sex assigned to F and sample size reported for F,"Info on sample sizes is taken from ref. 27, p 2328 (paper with same data but no IGEs estimated; info on model is on supplementary information online; a lot of info is missing on the other components in the model; as IGE and DGE are estimated in a variation of the animal model (IGE estimated on males, DGEs estimated on females),  I have interpreted IGEs as the effect of female genotype on male CHC; DGE are estimated on females and IGEs on males so sex is assigned to F",non_transf,NA,gaussian,NA,NA
18,IGE0406,NA,Drosophila serrata,arthropods,"Forster stock, University of Queensland, AUS",NA,captive,experimental,F,ad,NA,418,418,60,120,NA,NA,2-Me-C30,metabolism & physiology,No,NA,No,NA,NA,no,yes,2,0.132,0.044,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Table 2, Table 3",FS,"Info on sample sizes is taken from ref. 27, p 2328 (paper with same data but no IGEs estimated - sizes are 432 males, 418 females -how to pool?); info on model is on supplementary information online; a lot of info is missing on the other components in the model; as IGE and DGE are estimated in a variation of the animal model (IGE estimated on males, DGEs estimated on females),  I have interpreted IGEs as the effect of female genotype on male CHC but it is not clearly worded; sex is both since DGE are estimated on females and IGEs on males",MM,"MM: I dont understand your reporting of the pedigre stats. why only the first row has the 60 sires and 120 dams? and later, the same values than for the field? 2) for the sample size, I'd say we take the female one a sit is the DGE sex.  Then, we should also change sex to females, no?
",no,Revise,updated pedigree stats; sex assigned to F and sample size reported for F,"Info on sample sizes is taken from ref. 27, p 2328 (paper with same data but no IGEs estimated; info on model is on supplementary information online; a lot of info is missing on the other components in the model; as IGE and DGE are estimated in a variation of the animal model (IGE estimated on males, DGEs estimated on females),  I have interpreted IGEs as the effect of female genotype on male CHC; DGE are estimated on females and IGEs on males so sex is assigned to F",non_transf,NA,gaussian,NA,NA
19,IGE0406,NA,Drosophila serrata,arthropods,"University of Queensland, AUS",NA,wild,experimental,M,ad,NA,324,324,NA,NA,NA,NA,"Z,Z-5,9-C25:2",metabolism & physiology,No,NA,No,NA,NA,no,yes,2,NA,0.042,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Table 3,FS,a lot of info is missing on the other components in the model; this paper need thorough rechecking,MM,"MM: I think here the pedigree stats are correct, with the 324 field males as ids, and the rest unknown. ",no,Revise,NA,NA,non_transf,NA,gaussian,NA,NA
20,IGE0406,NA,Drosophila serrata,arthropods,"University of Queensland, AUS",NA,wild,experimental,M,ad,NA,324,324,NA,NA,NA,NA,Z-9-C25:1,metabolism & physiology,No,NA,No,NA,NA,no,yes,2,NA,0.025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Table 3,FS,a lot of info is missing on the other components in the model; this paper need thorough rechecking,MM,"MM: I think here the pedigree stats are correct, with the 324 field males as ids, and the rest unknown. ",no,Revise,NA,NA,non_transf,NA,gaussian,NA,NA
21,IGE0406,NA,Drosophila serrata,arthropods,"University of Queensland, AUS",NA,wild,experimental,M,ad,NA,324,324,NA,NA,NA,NA,Z-9-C26:1,metabolism & physiology,No,NA,No,NA,NA,no,yes,2,NA,0.095,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Table 3,FS,a lot of info is missing on the other components in the model; this paper need thorough rechecking,MM,"MM: I think here the pedigree stats are correct, with the 324 field males as ids, and the rest unknown. ",no,Revise,NA,NA,non_transf,NA,gaussian,NA,NA
22,IGE0406,NA,Drosophila serrata,arthropods,"University of Queensland, AUS",NA,wild,experimental,M,ad,NA,324,324,NA,NA,NA,NA,2-Me-C26,metabolism & physiology,No,NA,No,NA,NA,no,yes,2,NA,0.085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Table 3,FS,a lot of info is missing on the other components in the model; this paper need thorough rechecking,MM,"MM: I think here the pedigree stats are correct, with the 324 field males as ids, and the rest unknown. ",no,Revise,NA,NA,non_transf,NA,gaussian,NA,NA
23,IGE0406,NA,Drosophila serrata,arthropods,"University of Queensland, AUS",NA,wild,experimental,M,ad,NA,324,324,NA,NA,NA,NA,"Z,Z-5,9-C27:2",metabolism & physiology,No,NA,No,NA,NA,no,yes,2,NA,0.028,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Table 3,FS,a lot of info is missing on the other components in the model; this paper need thorough rechecking,MM,"MM: I think here the pedigree stats are correct, with the 324 field males as ids, and the rest unknown. ",no,Revise,NA,NA,non_transf,NA,gaussian,NA,NA
24,IGE0406,NA,Drosophila serrata,arthropods,"University of Queensland, AUS",NA,wild,experimental,M,ad,NA,324,324,NA,NA,NA,NA,2-Me-C28,metabolism & physiology,No,NA,No,NA,NA,no,yes,2,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Table 3,FS,a lot of info is missing on the other components in the model; this paper need thorough rechecking,MM,"MM: I think here the pedigree stats are correct, with the 324 field males as ids, and the rest unknown. ",no,Revise,NA,NA,non_transf,NA,gaussian,NA,NA
