Record ID,Paper ID,Year,species name,taxon,population,study coordinates,population type,study type,sex,age,# id/pedigree,# records,# id w records,# sires,# dams,# families,depth of ped,trait name,trait category,Mean standardized,Trait mean,Variance standardized,Trait SD,treatment/group,fixed eff of partner trait,other fixed eff,Mean group size,VA,V IGE,VPE (foc),VPE (soc),V other 1,V other 2,V other 3,V other 4,V other 5,V other 6,V residual,Total V phen,h2,social_h2,r A-IGE,r PE-PE(S),cov A-IGE,cov  PE-PE(S),V_tbv,T2,data location,Screener ID,notes,Second-Screener ID,Second-Screener notes,excluded_during_data_extraction,Decision,changes_after_second_screening,final comments,data_transf,trait_mean_transf,trait_error_distrib,estimates_scale_nongauss,vp_group_formula
11,IGE0889,NA,Gallus gallus,birds,Hendrix genetics,NA,captive,experimental,F,ad,6276,6276,6276,68,537,NA,5,survival days,survival,No,352.3,No,NA,W1,no,yes,4,915,134,NA,NA,NA,NA,NA,NA,NA,NA,NA,12847,NA,NA,0.18,NA,62,NA,50,0.19,Table 5,DF,I calculated overall trait means from the laying house values in Table 3. They give h2 from a different model (without IGEs) in Table 4 but I haven't included it as the est for VA comes from the model with IGEs reported in Table 5,MM,"AST comment: population should be Hendrix Genetics so that IGE0654 use same terminology :) MM 1) I get a trait mean = 355, 2) r pe is not a true PE, right? It is the correlation between the residuals of the group members
",no,Revise,"Changed Population to ""Hendrix genetics"". Changed r PE-PE(S) to NA. Added NA for social heritability",,non_transf,NA,gaussian,NA,yes
12,IGE0889,NA,Gallus gallus,birds,Hendrix genetics,NA,captive,experimental,F,ad,6916,6916,6916,68,537,NA,5,survival days,survival,No,325.7,No,NA,WB,no,yes,4,1917,273,NA,NA,NA,NA,NA,NA,NA,NA,NA,20111,NA,NA,-0.31,NA,-228,NA,55,0.15,Table 5,DF,I calculated overall trait means from the laying house values in Table 3. Thy give h2 from a different model (without IGEs) in Table 4 but I haven't included it as the est for VA comes from the model with IGEs reported in Table 5,MM,"AST comment: population should be Hendrix Genetics so that IGE0654 use same terminology :) 1) I get a trait mean = 326, 2) r pe is not a true PE, right? It is the correlation between the residuals of the group members
",no,Revise,"Changed Population to ""Hendrix genetics"". Changed r PE-PE(S) to NA. Added NA for social heritability",,non_transf,NA,gaussian,NA,yes
13,IGE0889,NA,Gallus gallus,birds,Hendrix genetics,NA,captive,experimental,F,ad,3588,3588,3588,38,294,NA,5,survival days,survival,No,373.4,No,NA,WF,no,yes,4,246,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,13999,NA,NA,0.11,NA,13,NA,30,0.06,Table 5,DF,I calculated overall trait means from the laying house values in Table 3. They give h2 from a different model (without IGEs) in Table 4 but I haven't included it as the est for VA comes from the model with IGEs reported in Table 5,MM,"AST comment: population should be Hendrix Genetics so that IGE0654 use same terminology :) MM: 1) 294 dams, 2) I get a trait mean = 373, 3) r pe is not a true PE, right? It is the correlation between the residuals of the group members
",no,Revise,"Changed Population to ""Hendrix genetics"". Changed #dams to 294. Changed r PE-PE(S) to NA. Added NA for social heritability",,non_transf,NA,gaussian,NA,yes
14,IGE0572,2012-2014,Oryctolagus cuniculus,mammals,"IRTA, Spain",NA,captive,experimental,both,juv,7701,2687,2687,NA,NA,1106,NA,Average daily gain week 1,development,No,26.51,No,10.25,NA,no,yes,8,8.03,0.43,NA,NA,8.7,23.09,5.68,NA,NA,NA,NA,NA,0.17,0.44,NA,NA,NA,NA,NA,0.19,"Figs. 1-4, Tables 1 & 2",DF,"V other 1 is litter, V other 2 is ""pseudo-environmental variance"", V other 3 is group. They did not include residual variance due to the pseudo-enviomental variance, so perhaps that effectively is the residual variance? In additional file 2 they give values for the direct-indirect covariances that they used in a simuation. These were ""close to those obtained with the SAD model in the data analysis step"". No idea what ""close"" means, but since it indicates they are not the true values, I haven't used them.
Indirect heritability is 0.44.",MM,"MM: to consider, there is info on h2 male. Post-2nd revision note: this paper uses potenitally the same data than IGE0537
",no,Accept,Added note about male h2. Added value for social heritability,,non_transf,NA,gaussian,NA,yes
15,IGE0572,2012-2014,Oryctolagus cuniculus,mammals,"IRTA, Spain",NA,captive,experimental,both,juv,7701,2624,2624,NA,NA,1106,NA,Average daily gain week 2,development,No,37.54,No,11.49,NA,no,yes,8,13,0.26,NA,NA,5.97,28.18,7.59,NA,NA,NA,NA,NA,0.24,0.23,NA,NA,NA,NA,NA,0.09,"Figs. 1-4, Tables 1 & 2",DF,"V other 1 is litter, V other 2 is ""pseudo-environmental variance"", V other 3 is group. They did not include residual variance due to the pseudo-enviomental variance, so perhaps that effectively is the residual variance? In additional file 2 they give values for the direct-indirect covariances that they used in a simuation. These were ""close to those obtained with the SAD model in the data analysis step"". No idea what ""close"" means, but since it indicates they are not the true values, I haven't used them.
Indirect heritability is 0.23
",MM,"MM: to consider, there is info on h2 male
",no,Accept,Added note about male h2. Added value for social heritability,,non_transf,NA,gaussian,NA,yes
16,IGE0572,2012-2014,Oryctolagus cuniculus,mammals,"IRTA, Spain",NA,captive,experimental,both,juv,7701,2280,2280,NA,NA,1106,NA,Average daily gain week 3,development,No,42.02,No,11.1,NA,no,yes,8,13.47,0.23,NA,NA,4.51,34.5,9.73,NA,NA,NA,NA,NA,0.22,0.22,NA,NA,NA,NA,NA,0.05,"Figs. 1-4, Tables 1 & 2",DF,"V other 1 is litter, V other 2 is ""pseudo-environmental variance"", V other 3 is group. They did not include residual variance due to the pseudo-enviomental variance, so perhaps that effectively is the residual variance? In additional file 2 they give values for the direct-indirect covariances that they used in a simuation. These were ""close to those obtained with the SAD model in the data analysis step"". No idea what ""close"" means, but since it indicates they are not the true values, I haven't used them.
Indirect heritability is 0.22
",MM,"MM: 1) trait SD = 11.1, 2)  to consider, there is info on h2 male
",no,Revise,Changed Trait SD to 11.10. Added note about male h2. Added value for social heritability,,non_transf,NA,gaussian,NA,yes
17,IGE0572,2012-2014,Oryctolagus cuniculus,mammals,"IRTA, Spain",NA,captive,experimental,both,juv,7701,1944,1944,NA,NA,1106,NA,Average daily gain week 4,development,No,40.11,No,13.27,NA,no,yes,8,10.26,0.22,NA,NA,3.93,42.53,12.55,NA,NA,NA,NA,NA,0.15,0.15,NA,NA,NA,NA,NA,0.06,"Figs. 1-4, Tables 1 & 2",DF,"V other 1 is litter, V other 2 is ""pseudo-environmental variance"", V other 3 is group. They did not include residual variance due to the pseudo-enviomental variance, so perhaps that effectively is the residual variance? In additional file 2 they give values for the direct-indirect covariances that they used in a simuation. These were ""close to those obtained with the SAD model in the data analysis step"". No idea what ""close"" means, but since it indicates they are not the true values, I haven't used them.
Indirect heritability is 0.15",MM,"MM: to consider, there is info on h2 male
",no,Accept,Added note about male h2. Added value for social heritability,,non_transf,NA,gaussian,NA,yes
18,IGE0572,2012-2014,Oryctolagus cuniculus,mammals,"IRTA, Spain",NA,captive,experimental,both,juv,7701,1720,1720,NA,NA,1106,NA,Average daily gain week 5,development,No,41.2,No,10.9,NA,no,yes,8,6.2,0.31,NA,NA,4.19,52.78,16.35,NA,NA,NA,NA,NA,0.08,0.08,NA,NA,NA,NA,NA,0.12,"Figs. 1-4, Tables 1 & 2",DF,"V other 1 is litter, V other 2 is ""pseudo-environmental variance"", V other 3 is group. They did not include residual variance due to the pseudo-enviomental variance, so perhaps that effectively is the residual variance? In additional file 2 they give values for the direct-indirect covariances that they used in a simuation. These were ""close to those obtained with the SAD model in the data analysis step"". No idea what ""close"" means, but since it indicates they are not the true values, I haven't used them.
Indirect heritability is 0.08",MM,"MM: to consider, there is info on h2 male
",no,Accept,Added note about male h2. Added value for social heritability,,non_transf,NA,gaussian,NA,yes
19,IGE0401,NA,Gallus gallus,birds,"White Leghorns, Netherlands",NA,captive,experimental,F,ad,6276,6276,6276,68,537,NA,5,survival days,survival,No,352.3,No,NA,W1-LAM,no,yes,4,915,134,NA,NA,NA,NA,NA,NA,NA,NA,NA,12847,NA,NA,0.18,0.08,NA,NA,2490,0.19,Table 1,DF,"Same dataset as IGE0889, and identical values as well",AST,"Since IGE0889 uses the same data to test the same question just using an different model approach, we need to make sure our dataset only contains one estimate. I vote for keeping IGE0889, and exclude IGE0401 entirely due to duplication. The main reason to choose IGE0889 is that the 2STEP analysis shown in IGE0889 does stats on stats, so I think it is better to use the simpler model.",yes,Revise,NA,NA,NA,NA,NA,NA,NA
20,IGE0401,NA,Gallus gallus,birds,"White Leghorns, Netherlands",NA,captive,experimental,F,ad,6916,6916,6916,68,537,NA,5,survival days,survival,No,325.7,No,NA,WB-LAM,no,yes,4,1917,273,NA,NA,NA,NA,NA,NA,NA,NA,NA,20111,NA,NA,-0.31,0.08,NA,NA,3007,0.15,Table 1,DF,"Same dataset as IGE0889, and identical values as well",AST,"Since IGE0889 uses the same data to test the same question just using an different model approach, we need to make sure our dataset only contains one estimate. I vote for keeping IGE0889, and exclude IGE0401 entirely due to duplication. The main reason to choose IGE0889 is that the 2STEP analysis shown in IGE0889 does stats on stats, so I think it is better to use the simpler model.",yes,Revise,NA,NA,NA,NA,NA,NA,NA
21,IGE0401,NA,Gallus gallus,birds,"White Leghorns, Netherlands",NA,captive,experimental,F,ad,3588,3588,3588,38,194,NA,5,survival days,survival,No,373.4,No,NA,WF-LAM,no,yes,4,246,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,13999,NA,NA,0.11,0.1,NA,NA,910,0.06,Table 1,DF,"Same dataset as IGE0889, and identical values as well",AST,"Since IGE0889 uses the same data to test the same question just using an different model approach, we need to make sure our dataset only contains one estimate. I vote for keeping IGE0889, and exclude IGE0401 entirely due to duplication. The main reason to choose IGE0889 is that the 2STEP analysis shown in IGE0889 does stats on stats, so I think it is better to use the simpler model.",yes,Revise,NA,NA,NA,NA,NA,NA,NA
22,IGE0401,NA,Gallus gallus,birds,"White Leghorns, Netherlands",NA,captive,experimental,F,ad,6276,6276,6276,68,537,NA,5,survival days,survival,No,352.3,No,NA,W1-2STEP,no,yes,4,0.31,0.041,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.44,NA,NA,0.13,-0.003,NA,NA,0.77,0.53,Table 1,DF,"Same dataset as IGE0889, but different analysis method so different values",AST,"Since IGE0889 uses the same data to test the same question just using an different model approach, we need to make sure our dataset only contains one estimate. I vote for keeping IGE0889, and exclude IGE0401 entirely due to duplication. The main reason to choose IGE0889 is that the 2STEP analysis shown in IGE0889 does stats on stats, so I think it is better to use the simpler model.",yes,Revise,NA,NA,NA,NA,NA,NA,NA
23,IGE0401,NA,Gallus gallus,birds,"White Leghorns, Netherlands",NA,captive,experimental,F,ad,6916,6916,6916,68,537,NA,5,survival days,survival,No,325.7,No,NA,WB-2STEP,no,yes,4,0.3,0.028,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.38,NA,NA,-0.2,-0.005,NA,NA,0.44,0.32,Table 1,DF,"Same dataset as IGE0889, but different analysis method so different values",AST,"Since IGE0889 uses the same data to test the same question just using an different model approach, we need to make sure our dataset only contains one estimate. I vote for keeping IGE0889, and exclude IGE0401 entirely due to duplication. The main reason to choose IGE0889 is that the 2STEP analysis shown in IGE0889 does stats on stats, so I think it is better to use the simpler model.",yes,Revise,NA,NA,NA,NA,NA,NA,NA
24,IGE0401,NA,Gallus gallus,birds,"White Leghorns, Netherlands",NA,captive,experimental,F,ad,3588,3588,3588,38,194,NA,5,survival days,survival,No,373.4,No,NA,WF-2STEP,no,yes,4,0.12,0.049,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.27,NA,NA,0.55,-0.004,NA,NA,0.81,0.64,Table 1,DF,"Same dataset as IGE0889, but different analysis method so different values",AST,"Since IGE0889 uses the same data to test the same question just using an different model approach, we need to make sure our dataset only contains one estimate. I vote for keeping IGE0889, and exclude IGE0401 entirely due to duplication. The main reason to choose IGE0889 is that the 2STEP analysis shown in IGE0889 does stats on stats, so I think it is better to use the simpler model.",yes,Revise,NA,NA,NA,NA,NA,NA,NA
25,IGE0657,NA,Coturnix japonica,birds,Purdue Poultry Research Centre,NA,captive,experimental,both,ad,NA,NA,NA,NA,NA,NA,NA,day 43 weight,morphology,No,NA,No,NA,NA,no,yes,16,24.6,1.04,NA,NA,NA,NA,NA,NA,NA,NA,124.5,NA,NA,NA,NA,0.09,-1.2,NA,NA,NA,Table 1,DF,no sample size information,AST,"I lean towards ""morphology"" as trait category. For the sample sizes, if the authors do not reply to our email, we might be able to calculate it ourselves as number of cages (24) x number of individuals per cage (16) adjusted by mortality, which according to Muir 2005 seems to be 5% for groups of 16. Then, number of records and individuals would be ca. 365.",no,Revise,"Changed Trait category to ""morphology"". Added ""NA"" for social heritability",,non_transf,NA,gaussian,NA,NA
26,IGE0654,NA,Gallus gallus,birds,Hendrix Genetics,NA,captive,experimental,F,ad,3800,3800,3800,36,287,NA,5,survival days,survival,No,454,No,122,NA,no,yes,4,960,132,NA,NA,NA,NA,NA,NA,NA,NA,NA,13725,NA,NA,NA,NA,99,NA,2742,0.2,Table 2,DF,They report a residual correlation of 0.09 but I haven't included that in the r PE-PE(S) column as it includes covariance due to shared cage effects I think not just non-genetic interactions among cage mates.,AST,,no,Accept,"Added ""NA"" for social heritability",,non_transf,NA,gaussian,NA,yes
27,IGE0468,NA,Mus musculus,mammals,Wheel running mice,NA,captive,experimental,both,ad,11420,11420,11420,NA,NA,10 per generation,78,Running duration - day 1,behaviour,Yes,0,Yes,1,Control line,yes,yes,2,0.2039,0.0045,NA,NA,0.081,0.0159,NA,NA,NA,NA,0.5343,1,NA,NA,0.4481,NA,NA,NA,NA,NA,"Tables 2 & 3, and S2 & S3 in ESM.",DF,"V other 1 is maternal effect, V other 2 is indirect maternal effect (mother of social partner). Not looking at Distance as another trait as it is the product of duration and speed which are already analysed.",AST,"I would say population = NA; I guess the reason why not to extract distance is because it is the product of speed by duration. If so, we should write it in the notes to avoid potential readers to be confused.",no,Revise,"Added note about not including distance as it is speed * duration. Added ""NA"" for social heritability",,non_transf,NA,gaussian,NA,no
28,IGE0468,NA,Mus musculus,mammals,Wheel running mice,NA,captive,experimental,both,ad,11420,11420,11420,NA,NA,10 per generation,78,Running duration - day 2,behaviour,Yes,0,Yes,1,Control line,yes,yes,2,0.1574,0.0162,NA,NA,0.0601,0.0144,NA,NA,NA,NA,0.513,1,NA,NA,0.3172,NA,NA,NA,NA,NA,"Tables 2 & 3, and S2 & S3 in ESM.",DF,"V other 1 is maternal effect, V other 2 is indirect maternal effect (mother of social partner). Not looking at Distance as another trait as it is the product of duration and speed which are already analysed.",AST,"I would say population = NA; I guess the reason why not to extract distance is because it is the product of speed by duration. If so, we should write it in the notes to avoid potential readers to be confused.",no,Revise,"Added note about not including distance as it is speed * duration. Added ""NA"" for social heritability",,non_transf,NA,gaussian,NA,no
29,IGE0468,NA,Mus musculus,mammals,Wheel running mice,NA,captive,experimental,both,ad,11420,11420,11420,NA,NA,10 per generation,78,Running duration - day 3,behaviour,Yes,0,Yes,1,Control line,yes,yes,2,0.1167,0,NA,NA,0.0554,0.0187,NA,NA,NA,NA,0.5341,1,NA,NA,0.0225,NA,NA,NA,NA,NA,"Tables 2 & 3, and S2 & S3 in ESM.",DF,"V other 1 is maternal effect, V other 2 is indirect maternal effect (mother of social partner). Not looking at Distance as another trait as it is the product of duration and speed which are already analysed.",AST,"I would say population = NA; I guess the reason why not to extract distance is because it is the product of speed by duration. If so, we should write it in the notes to avoid potential readers to be confused.",no,Revise,"Added note about not including distance as it is speed * duration. Added ""NA"" for social heritability",,non_transf,NA,gaussian,NA,no
30,IGE0468,NA,Mus musculus,mammals,Wheel running mice,NA,captive,experimental,both,ad,11420,11420,11420,NA,NA,10 per generation,78,Running duration - day 4,behaviour,Yes,0,Yes,1,Control line,yes,yes,2,0.1715,0.002,NA,NA,0.0636,0.0101,NA,NA,NA,NA,0.5041,1,NA,NA,-0.1562,NA,NA,NA,NA,NA,"Tables 2 & 3, and S2 & S3 in ESM.",DF,"V other 1 is maternal effect, V other 2 is indirect maternal effect (mother of social partner). Not looking at Distance as another trait as it is the product of duration and speed which are already analysed.",AST,"I would say population = NA; I guess the reason why not to extract distance is because it is the product of speed by duration. If so, we should write it in the notes to avoid potential readers to be confused.",no,Revise,"Added note about not including distance as it is speed * duration. Added ""NA"" for social heritability",,non_transf,NA,gaussian,NA,no
31,IGE0468,NA,Mus musculus,mammals,Wheel running mice,NA,captive,experimental,both,ad,11420,11420,11420,NA,NA,10 per generation,78,Running duration - day 5,behaviour,Yes,0,Yes,1,Control line,yes,yes,2,0.1779,0.0009,NA,NA,0.05047,0.0125,NA,NA,NA,NA,0.5001,1,NA,NA,-0.2334,NA,NA,NA,NA,NA,"Tables 2 & 3, and S2 & S3 in ESM.",DF,"V other 1 is maternal effect, V other 2 is indirect maternal effect (mother of social partner). Not looking at Distance as another trait as it is the product of duration and speed which are already analysed.",AST,"I would say population = NA; I guess the reason why not to extract distance is because it is the product of speed by duration. If so, we should write it in the notes to avoid potential readers to be confused; V other 1 should be 0.0547",no,Revise,"Added note about not including distance as it is speed * duration. Added ""NA"" for social heritability",,non_transf,NA,gaussian,NA,no
