"","Record_id","Paper_id","Year","Species_name","Taxon","Population","Population_type","Study_type","Sex","Age","N_id_pedigree","N_records","N_id_w_records","N_sires","N_dams","N_families","Depth_of_ped","Trait_name","Trait_category","Mean_standardized","Trait_mean","Variance_standardized","Trait_sd","Treatment_group","Fixed_eff_of_partner_trait","Other_fixed_eff","Mean_group_size","Va","V_ige","Vpe_foc","Vpe_soc","V_other_1","V_other_2","V_other_3","V_other_4","V_other_5","V_other_6","V_residual","Total_v_phen","H2","Social_h2","R_a_ige","R_pe_pe_soc","Cov_a_ige","Cov_pe_pe_soc","V_tbv","T2","Data_location","Screener_id","Notes","Second_screener_id","Second_screener_notes","Excluded_during_data_extraction","Changes_after_second_screening","Final_comments","Data_transf","Trait_mean_transf","Trait_error_distrib","Estimates_scale_nongauss","Vp_group_formula","Species_name.2","Population2","Group_id","Second_screener_original_decision","missingSocial_h2","missingVP","missingVIGE","missingMean","missingVA","missingIdRecords"
"11","11","IGE0505","2009-2011","Neovison vison","mammals","Research Centre Foulum, Denmark","captive","experimental","both","both",2806,1985,1985,136,349,NA,5,"body bite marks","behaviour","no",2.03,"no",2.6,NA,"no","yes",4,"0.37","0.27",NA,NA,3.15,3.9,NA,NA,NA,NA,NA,4.95,0.07,NA,0.67,NA,0.27,NA,2.56,0.52,"Table 6","AST","Trait mean and SD can be estimated as a marginalized mean using the values in Table 2. V other 1 = residuals males; V other 2 = residuals females. Data extraction discussed among all four reviewers
","FS","Trait mean and SD are estimated as a marginalized mean using the values in Table 2. V other 1 = residuals males; V other 2 = residuals females.","no","estimated mean and sd with marginal means formula",NA,"log","no","gaussian",NA,NA,"Neovison vison","Foulum_DK",37,"Revise",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"12","12","IGE0418",NA,"Eucalyptus globulus","plants","Manjimup, Western Australia","captive","experimental","both","ad",9450,NA,NA,NA,NA,570,2,"percentage of juvenile foliage affected by Mycosphaerella leaf disease","metabolism & physiology","no",23,"no",11,NA,"no","yes",3,"82.96","1.49",NA,NA,-0.27,99.23,NA,NA,NA,NA,NA,NA,0.447,NA,0.83,NA,9.26,NA,115.58,0.608,"Table S3; Table S4","AST","RN chosen as it is the reduced one that provides all necessary data (see supplements). V other 1 = indirect residual (which is negative). V other 2 = Direct residual. Check if Costa-Silva et al. (2013) uses the same data to adjust grouping variables accordingly. Data extraction discussed among all four reviewers","AST","population changed so that it is clear that it is the same one as IGE0389; #sires and #dams similar but not the same as in IGE0389, we just know it is 161 in total; data and questions seemingly the same as in IGE0389, consider if IGE0418 should be excluded due to duplication; RN chosen as it is the reduced one that provides all necessary data (see supplements). V other 1 = indirect residual (which is negative). V other 2 = Direct residual; H2 social provided in Table S4 but split between contribution of variance and covariance","no",NA,NA,"non_transf",NA,"gaussian",NA,NA,"Eucalyptus globulus","Manjimup_AUS",22,"Revise",TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"13","13","IGE0418",NA,"Eucalyptus globulus","plants","Manjimup, Western Australia","captive","experimental","both","ad",9450,NA,NA,NA,NA,570,2,"Over-bark diameter at breast height at 2 years","morphology","no",98,"no",16,NA,"no","yes",3,"90.02","6.72",NA,NA,0.85,135.81,NA,NA,NA,NA,NA,NA,0.367,NA,-0.9,NA,-22.01,NA,41.45,0.168,"Table S3; Table S4","AST","RN chosen as it is the reduced one that provides all necessary data (see supplements). V other 1 = indirect residual (which is negative). V other 2 = Direct residual. Check if Costa-Silva et al. (2013) uses the same data to adjust grouping variables accordingly. Data extraction discussed among all four reviewers","AST","population changed so that it is clear that it is the same one as IGE0389; #sires and #dams similar but not the same as in IGE0389, we just know it is 161 in total; data and questions seemingly the same as in IGE0389, consider if IGE0418 should be excluded due to duplication; RN chosen as it is the reduced one that provides all necessary data (see supplements). V other 1 = indirect residual (which is negative). V other 2 = Direct residual; H2 social provided in Table S4 but split between contribution of variance and covariance","no",NA,NA,"non_transf",NA,"gaussian",NA,NA,"Eucalyptus globulus","Manjimup_AUS",22,"Revise",TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"14","14","IGE0418",NA,"Eucalyptus globulus","plants","Manjimup, Western Australia","captive","experimental","both","ad",9450,NA,NA,NA,NA,570,2,"Over-bark diameter at breast height at 4 years","morphology","no",NA,"no",NA,NA,"no","yes",4,"219.24","36.25",NA,NA,-1.04,251.5,NA,NA,NA,NA,NA,NA,0.413,NA,-0.95,NA,-84.35,NA,40.54,0.077,"Table S3; Table S4","AST","RN chosen as it is the reduced one that provides all necessary data (see supplements). V other 1 = indirect residual (which is negative). V other 2 = Direct residual. Check if Costa-Silva et al. (2013) uses the same data to adjust grouping variables accordingly. Data extraction discussed among all four reviewers","AST","population changed so that it is clear that it is the same one as IGE0389; #sires and #dams similar but not the same as in IGE0389, we just know it is 161 in total; trait mean presumably available from IGE0389; data and questions seemingly the same as in IGE0389, consider if IGE0418 should be excluded due to duplication; RN chosen as it is the reduced one that provides all necessary data (see supplements). V other 1 = indirect residual (which is negative). V other 2 = Direct residual; H2 social provided in Table S4 but split between contribution of variance and covariance","no",NA,NA,"non_transf",NA,"gaussian",NA,NA,"Eucalyptus globulus","Manjimup_AUS",22,"Revise",TRUE,TRUE,FALSE,TRUE,FALSE,TRUE
"15","15","IGE0418",NA,"Eucalyptus globulus","plants","Manjimup, Western Australia","captive","experimental","both","ad",9450,NA,NA,NA,NA,570,2,"Over-bark diameter at breast height at 8 years","morphology","no",175,"no",37,NA,"no","yes",4,"644.99","153.59",NA,NA,6.3,646.68,NA,NA,NA,NA,NA,NA,0.442,NA,-0.95,NA,-298.86,NA,80.98,0.056,"Table S3; Table S4","AST","RN chosen as it is the reduced one that provides all necessary data (see supplements). V other 1 = indirect residual (which is negative). V other 2 = Direct residual. Check if Costa-Silva et al. (2013) uses the same data to adjust grouping variables accordingly. Data extraction discussed among all four reviewers","AST","population changed so that it is clear that it is the same one as IGE0389; #sires and #dams similar but not the same as in IGE0389, we just know it is 161 in total; data and questions seemingly the same as in IGE0389, consider if IGE0418 should be excluded due to duplication; RN chosen as it is the reduced one that provides all necessary data (see supplements). V other 1 = indirect residual (which is negative). V other 2 = Direct residual; H2 social provided in Table S4 but split between contribution of variance and covariance","no",NA,NA,"non_transf",NA,"gaussian",NA,NA,"Eucalyptus globulus","Manjimup_AUS",22,"Revise",TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"16","16","IGE0348","1975-2012","Melospiza melodia","birds","Mandarte Island, BC, Canada","wild","observational","F","ad",666,944,250,130,141,NA,NA,"female liability for extra-pair reproduction","reproduction","no",NA,"no",NA,NA,"yes","yes",2,"1.54","0.48",0.31,0.15,0.24,0.75,0.04,NA,NA,NA,3,9.74,0.16,NA,NA,NA,0.18,NA,1.66,0.17,"Table 3; Text pg 2366","AST","binomial model (latent scale); fixed eff of partner trait = male inbreeding coeff and male age; pedigree from 1975-1992 was only social but was anyway used for the analyses (see supplements); data-scale heritabilities provided (see equation in pg 2363); V other 1 = pair ID, V other 2 = pair-year id, V other 3 = year id; #sires and #dams used despite being reported for a database that includes 4 more females than those used in the analysis (i.e. 250). We considered this to be too small of a difference to contact the authors about it.","DF","Trait mean = 0.058, SD = 0.044 (table 1). IMO #sires = 130, # dams = 141 (from supp mat), N/A for # families. Total VP = 9.74.","no","Total V phen changed from NA to 9.74; #sires and #dams changed to 130 and 141, respectively, even though they refer to a slightly larger database (254 females vs 250 females included in final analyses); #families changed to NA; depth of ped changed to NA",NA,"non_transf",NA,"binomial_logit","latent","yes","Melospiza melodia","MandarteIsland_CAN",16,"Revise",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"17","17","IGE0199",NA,"Chorthippus biguttulus","arthropods",NA,"semicaptive","experimental","F","ad",935,6413,396,64,93,NA,1,"egg length","reproduction","no",3.5,"no",8.008,NA,"no","yes",2,"0.043","0.003",NA,NA,0.043,0.022,0.033,NA,NA,NA,0.074,NA,0.2,0.01,NA,NA,NA,NA,NA,NA,"Table 1; Text pg 335","AST","# id/pedigree calculated as the number of females + males + max(sires) + max(dams), meaning that it might be underestimated; # id w records set to 396 instead of 412 because only 396 survived until the last day of the experiment; Trait mean and SD for the start of the experiment, be aware it increases over the experiment by 0.042 (se=0.002) mm/week; Trait SD calculated from reported SE as sd = se*sqrt(6413). V other 1 = Cohort, V other 2 = Mating pair id, V other 3 = Egg pod id; estimates extracted for the full 15-day period, although the authors also provide an estimate for each day (i.e. 15 estimates) in Figure 2","DF","63 sires, 93 dams, 280 families","no","#sires and #dams changed to 63 and 94, respectively; #families changed to NA; depth of pedigree changed to 1 because only F1 available",NA,"non_transf",NA,"gaussian",NA,NA,"Chorthippus biguttulus","Bielefeld_DE",6,"Revise",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"18","18","IGE0199",NA,"Chorthippus biguttulus","arthropods",NA,"semicaptive","experimental","F","ad",935,1062,396,64,93,NA,1,"egg number","reproduction","no",6.933,"no",14.86,NA,"no","yes",2,"0.783","0.071",NA,NA,0.836,1.449,NA,NA,NA,NA,3.41,NA,0.12,0.01,NA,NA,NA,NA,NA,NA,"Table 1; Text pg 337","AST","# id/pedigree calculated as the number of females + males + max(sires) + max(dams), meaning that it might be underestimated; # id w records set to 396 instead of 412 because only 396 survived until the last day of the experiment; Trait mean and SD for the start of the experiment, be aware it decreases over the experiment by -0.560 (se=0.016) eggs/week; Trait SD calculated from reported SE as sd = se*sqrt(1062); V other 1 = Cohort, V other 2 = Mating pair id; estimates extracted for the full 15-day period, although the authors also provide an estimate for each day (i.e. 15 estimates) in Figure 2","DF","63 sires, 93 dams, 280 families","no","#sires and #dams changed to 63 and 94, respectively; #families changed to NA; depth of pedigree changed to 1 because only F1 available",NA,"non_transf",NA,"gaussian",NA,NA,"Chorthippus biguttulus","Bielefeld_DE",6,"Revise",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"19","19","IGE0199",NA,"Chorthippus biguttulus","arthropods",NA,"semicaptive","experimental","F","ad",935,1062,396,64,93,NA,1,"egg pod length","reproduction","no",9.285,"no",5.182,NA,"no","yes",2,"0.542","0.088",NA,NA,0.042,0.223,NA,NA,NA,NA,1.766,NA,0.2,0.03,NA,NA,NA,NA,NA,NA,"Table 1; Text pg 337","AST","# id/pedigree calculated as the number of females + males + max(sires) + max(dams), meaning that it might be underestimated; # id w records set to 396 instead of 412 because only 396 survived until the last day of the experiment; Trait mean and SD for the start of the experiment, be aware it decreases over the experiment by -0.273 (se=0.012) mm/week; Trait SD calculated from reported SE as sd = se*sqrt(1062); V other 1 = Cohort, V other 2 = Mating pair id; estimates extracted for the full 15-day period, although the authors also provide an estimate for each day (i.e. 15 estimates) in Figure 2","DF","63 sires, 93 dams, 280 families","no","#sires and #dams changed to 63 and 94, respectively; #families changed to NA; depth of pedigree changed to 1 because only F1 available",NA,"non_transf",NA,"gaussian",NA,NA,"Chorthippus biguttulus","Bielefeld_DE",6,"Revise",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"20","20","IGE0199",NA,"Chorthippus biguttulus","arthropods",NA,"semicaptive","experimental","F","ad",935,396,396,64,93,NA,1,"egg pod number","reproduction","no",2.5,"no",1.393,NA,"no","yes",2,"0.004","0.004",NA,NA,0.029,0.33,NA,NA,NA,NA,0.004,NA,0.01,0.01,NA,NA,NA,NA,NA,NA,"Table 1; Text pg 338","AST","poisson model (latent scale); # id/pedigree calculated as the number of females + males + max(sires) + max(dams), meaning that it might be underestimated; data-scale heritability extracted (see pg 335 and 338); # id w records set to 396 instead of 412 because only 396 survived until the last day of the experiment; Trait SD calculated from reported SE as sd = se*sqrt(396); V other 1 = Cohort, V other 2 = observation id; estimates extracted for the full 15-day period, although the authors also provide an estimate for each day (i.e. 15 estimates) in Figure 2","DF","63 sires, 93 dams, 280 families. Include additional V other of 0.33 for Poisson variance?","no","#sires and #dams changed to 63 and 94, respectively; #families changed to NA; depth of pedigree changed to 1 because only F1 available",NA,"non_transf",NA,"poisson_loglink","link",NA,"Chorthippus biguttulus","Bielefeld_DE",6,"Revise",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"21","21","IGE0199",NA,"Chorthippus biguttulus","arthropods",NA,"semicaptive","experimental","F","ad",935,396,396,64,93,NA,1,"latency to first egg pod","reproduction","no",5.04,"no",3.184,NA,"no","no",2,"0.056","0.022",NA,NA,0.374,0.18,NA,NA,NA,NA,0.094,NA,0.07,0.03,NA,NA,NA,NA,NA,NA,"Table 1; Text pg 338","AST","poisson model (latent scale); # id/pedigree calculated as the number of females + males + max(sires) + max(dams), meaning that it might be underestimated; data-scale heritability extracted (see pg 335 and 338); # id w records set to 396 instead of 412 because only 396 survived until the last day of the experiment; Trait SD calculated from reported SE as sd = se*sqrt(396); V other 1 = Cohort, V other 2 = observation id","DF","63 sires, 93 dams, 280 families. Include additional V other of 0.18 for Poisson variance?","no","#sires and #dams changed to 63 and 94, respectively; #families changed to NA; depth of pedigree changed to 1 because only F1 available",NA,"non_transf",NA,"poisson_loglink","link",NA,"Chorthippus biguttulus","Bielefeld_DE",6,"Revise",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"22","22","IGE0857","1994-2011","Aegithalos caudatus","birds","Rivelin Valley, Sheffield, UK","wild","observational","both","ad",NA,2800,344,NA,NA,NA,NA,"feeding rates","behaviour","no",NA,"no",NA,NA,"no","yes",2.8,"0.033","0",0,0,0.01,0.058,0.102,NA,NA,NA,0.344,0.809,NA,NA,NA,NA,NA,NA,NA,NA,"Table S1; Text pg 6","AST","feeding rates were square-root transformed; V other 1 = nest id, V other 2 = focal bird-year id, V other 3 = social bird-year id; social effects variances have been multiplied by average group size (see Main Text); Mean group size set to 2.8 because the authors report """"The mean number of birds provisioning each nest was 2.8 (range 2–7)""""; the proportions provided for social effects are based on dividing by phenotypic variance expect residual variance, and therefore, were not extracted","DF","id w records is 344, I think we still want to include those birds who were only helpers? r A-IGE is not reported, they report the direct-indirect curent environment correlation as -0.25. I don't think we can use ith as the permanent environment correlation either.","no","r A-IGE changed from -0.25 to NA; #id w records changed to 344",NA,"sqrt",NA,"gaussian",NA,"yes","Aegithalos caudatus","RivelinValley_UK",61,"Revise",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"24","23","IGE1023",NA,"Gallus gallus","birds","Hendrix Genetics","captive","experimental","F","ad",NA,6092,6092,NA,NA,NA,NA,"days from start of laying to death/end of experiment","survival","no",NA,"no",NA,"line W1","no","yes",4,"705","104",NA,NA,799,NA,NA,NA,NA,NA,7980,NA,NA,NA,NA,NA,59,NA,1996,NA,"Table 6","AST","V other 1 = cage id","DF","Population = Hendrix Genetics white leghorns","no","population changed from NA to Hendrix Genetics",NA,"non_transf",NA,"gaussian",NA,NA,"Gallus gallus","HendrixGenetics_NL",68,"Accept",TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
"25","24","IGE1023",NA,"Gallus gallus","birds","Hendrix Genetics","captive","experimental","F","ad",NA,6852,6852,NA,NA,NA,NA,"days from start of laying to death/end of experiment","survival","no",NA,"no",NA,"line WB","no","yes",4,"1404","232",NA,NA,1191,NA,NA,NA,NA,NA,12675,NA,NA,NA,NA,NA,-162,NA,2521,NA,"Table 6","AST","V other 1 = cage id","DF","Population = Hendrix Genetics white leghorns","no","population changed from NA to Hendrix Genetics",NA,"non_transf",NA,"gaussian",NA,NA,"Gallus gallus","HendrixGenetics_NL",69,"Accept",TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
"26","25","IGE0196","1975-2014","Melospiza melodia","birds","Mandarte Island, BC, Canada","wild","observational","F","ad",1088,1040,518,NA,NA,NA,38,"breeding date","reproduction","no",107,"no",13,NA,"yes","yes",2,"12.2","3.2",10.8,1e-04,76.4,3.6,NA,NA,NA,NA,58.8,NA,0.07,0.02,0.99,NA,NA,NA,NA,0.17,"Table 1","AST","as in IGE0348, pedigree from 1975-1992 neglects EPP because social data was used and seemingly only some recruits were also genetically id; authors do not specifically define who is the focal sex, but since they use breeding date, sex assigned to female; fixed eff of partner trait = male inbreeding coefficient and age; multiple spatial models, I chose the """"Grid"""" model simply because of showing the lowest residual variance; V other 1 = year, V other 2 = location","MM","MM: 1) authors state 1975-2014 as actual study years, I think I'd go with that, 2) pedigree depth is not given, 38 years is the total number of study years. 3) to consider that there is info in h2 male","no","Years changed to 1975-2014",NA,"non_transf",NA,"gaussian",NA,NA,"Melospiza melodia","MandarteIsland_CAN",4,"Revise",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"27","26","IGE1038","2017","Sus scrofa","mammals",NA,"captive","experimental","both","ad",NA,3276,3276,NA,NA,NA,NA,"average daily gain (ADG)","development","no",NA,"no",NA,NA,"no","yes",10,"1107.79","49.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,27235.32,0.22,NA,0.23,NA,NA,NA,5587.34,0.22,"Table 1","AST","Large white pigs used; V other 1 = litter id, V other 2 = group id; age assumed to be adult because of focusing on 100kg marks; table 1 reports additive genetic variance, which presumably combines both direct and social, and then direct and social additive variances separately, which were the ones extracted; total phenotypic variance extracted as VP rather than phenotypic variance, which is unclear to me what it is but could be a combination of both litter and group effects which are not reported despite said to be included in the model","MM","MM: I dont get it, info is not in Table 1? let's talk per mail","no","All information extracted now, odd that I missed table 1 before",NA,"non_transf",NA,"gaussian",NA,NA,"Sus scrofa","Sichuan_CHN",70,"Revise",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"28","27","IGE1038","2017","Sus scrofa","mammals",NA,"captive","experimental","both","ad",NA,3276,3276,NA,NA,NA,NA,"days to 100 kg (D100)","development","no",NA,"no",NA,NA,"no","yes",10,"212.63","8.36",NA,NA,NA,NA,NA,NA,NA,NA,NA,2243.46,0.4,NA,0.58,NA,NA,NA,103.59,0.46,"Table 1","AST","Large white pigs used; V other 1 = litter id, V other 2 = group id; age assumed to be adult because of focusing on 100kg marks; table 1 reports additive genetic variance, which presumably combines both direct and social, and then direct and social additive variances separately, which were the ones extracted; total phenotypic variance extracted as VP rather than phenotypic variance, which is unclear to me what it is but could be a combination of both litter and group effects which are not reported despite said to be included in the model","MM","MM: I dont get it, info is not in Table 1? let's talk per mail","no","All information extracted now, odd that I missed table 1 before",NA,"non_transf",NA,"gaussian",NA,NA,"Sus scrofa","Sichuan_CHN",70,"Revise",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"29","28","IGE1038","2017","Sus scrofa","mammals",NA,"captive","experimental","both","ad",NA,3276,3276,NA,NA,NA,NA,"backfat thickness to 100kg (B100)","development","no",NA,"no",NA,NA,"no","yes",10,"126.75","4.87",NA,NA,NA,NA,NA,NA,NA,NA,NA,1387.33,0.45,NA,0.15,NA,NA,NA,598.62,0.43,"Table 1","AST","Large white pigs used; V other 1 = litter id, V other 2 = group id; age assumed to be adult because of focusing on 100kg marks; table 1 reports additive genetic variance, which presumably combines both direct and social, and then direct and social additive variances separately, which were the ones extracted; total phenotypic variance extracted as VP rather than phenotypic variance, which is unclear to me what it is but could be a combination of both litter and group effects which are not reported despite said to be included in the model","MM","MM: I dont get it, info is not in Table 1? let's talk per mail","no","All information extracted now, odd that I missed table 1 before",NA,"non_transf",NA,"gaussian",NA,NA,"Sus scrofa","Sichuan_CHN",70,"Revise",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
