Paper_id,X,Record_id,Year,Species_name,Taxon,Population,Population_type,Study_type,Sex,Age,N_id_pedigree,N_records,N_id_w_records,N_sires,N_dams,N_families,Depth_of_ped,Trait_name,Trait_category,Mean_standardized,Trait_mean,Variance_standardized,Trait_sd,Treatment_group,Fixed_eff_of_partner_trait,Other_fixed_eff,Mean_group_size,Va,V_ige,Vpe_foc,Vpe_soc,V_other_1,V_other_2,V_other_3,V_other_4,V_other_5,V_other_6,V_residual,Total_v_phen,H2,Social_h2,R_a_ige,R_pe_pe_soc,Cov_a_ige,Cov_pe_pe_soc,V_tbv,T2,Data_location,Screener_id,Notes,Second_screener_id,Second_screener_notes,Changes_after_second_screening,Data_transf,Trait_mean_transf,Trait_error_distrib,Estimates_scale_nongauss,Vp_group_formula,Species_name.2,Population2,Group_id,Second_screener_original_decision,missingSocial_h2,missingVP,missingVIGE,missingMean,missingVA,missingIdRecords,Total_v_phen2,Trait_mean2,Reported_values_flag,Excluded_after_control,social_h2,Year_of_Publication
IGE0199,18,18,NA,Chorthippus biguttulus,arthropods,NA,semicaptive,experimental,F,ad,935,1062,396,64,93,NA,1,egg number,reproduction,no,6.933,no,14.86,NA,no,yes,2,0.783,0.071,NA,NA,0.836,1.449,NA,NA,NA,NA,3.41,6.757,0.12,0.01,NA,NA,NA,NA,NA,NA,Table 1; Text pg 337,AST,"# id/pedigree calculated as the number of females + males + max(sires) + max(dams), meaning that it might be underestimated; # id w records set to 396 instead of 412 because only 396 survived until the last day of the experiment; Trait mean and SD for the start of the experiment, be aware it decreases over the experiment by -0.560 (se=0.016) eggs/week; Trait SD calculated from reported SE as sd = se*sqrt(1062); V other 1 = Cohort, V other 2 = Mating pair id; estimates extracted for the full 15-day period, although the authors also provide an estimate for each day (i.e. 15 estimates) in Figure 2",DF,"63 sires, 93 dams, 280 families","#sires and #dams changed to 63 and 94, respectively; #families changed to NA; depth of pedigree changed to 1 because only F1 available",non_transf,NA,gaussian,NA,NA,Chorthippus biguttulus,Bielefeld_DE,6,Revise,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,6.757,6.933,NA,NA,NA,2019
IGE0199,19,19,NA,Chorthippus biguttulus,arthropods,NA,semicaptive,experimental,F,ad,935,1062,396,64,93,NA,1,egg pod length,reproduction,no,9.285,no,5.182,NA,no,yes,2,0.542,0.088,NA,NA,0.042,0.223,NA,NA,NA,NA,1.766,2.643,0.2,0.03,NA,NA,NA,NA,NA,NA,Table 1; Text pg 337,AST,"# id/pedigree calculated as the number of females + males + max(sires) + max(dams), meaning that it might be underestimated; # id w records set to 396 instead of 412 because only 396 survived until the last day of the experiment; Trait mean and SD for the start of the experiment, be aware it decreases over the experiment by -0.273 (se=0.012) mm/week; Trait SD calculated from reported SE as sd = se*sqrt(1062); V other 1 = Cohort, V other 2 = Mating pair id; estimates extracted for the full 15-day period, although the authors also provide an estimate for each day (i.e. 15 estimates) in Figure 2",DF,"63 sires, 93 dams, 280 families","#sires and #dams changed to 63 and 94, respectively; #families changed to NA; depth of pedigree changed to 1 because only F1 available",non_transf,NA,gaussian,NA,NA,Chorthippus biguttulus,Bielefeld_DE,6,Revise,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,2.643,9.285,NA,NA,NA,2019
IGE0199,20,20,NA,Chorthippus biguttulus,arthropods,NA,semicaptive,experimental,F,ad,935,396,396,64,93,NA,1,egg pod number,reproduction,no,2.5,no,1.393,NA,no,yes,2,0.004,0.004,NA,NA,0.029,0.33,NA,NA,NA,NA,0.004,0.04,0.01,0.01,NA,NA,NA,NA,NA,NA,Table 1; Text pg 338,AST,"poisson model (latent scale); # id/pedigree calculated as the number of females + males + max(sires) + max(dams), meaning that it might be underestimated; data-scale heritability extracted (see pg 335 and 338); # id w records set to 396 instead of 412 because only 396 survived until the last day of the experiment; Trait SD calculated from reported SE as sd = se*sqrt(396); V other 1 = Cohort, V other 2 = observation id; estimates extracted for the full 15-day period, although the authors also provide an estimate for each day (i.e. 15 estimates) in Figure 2",DF,"63 sires, 93 dams, 280 families. Include additional V other of 0.33 for Poisson variance?","#sires and #dams changed to 63 and 94, respectively; #families changed to NA; depth of pedigree changed to 1 because only F1 available",non_transf,NA,poisson_loglink,link,NA,Chorthippus biguttulus,Bielefeld_DE,6,Revise,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0.04,2.5,NA,NA,NA,2019
IGE0199,21,21,NA,Chorthippus biguttulus,arthropods,NA,semicaptive,experimental,F,ad,935,396,396,64,93,NA,1,latency to first egg pod,reproduction,no,5.04,no,3.184,NA,no,no,2,0.056,0.022,NA,NA,0.374,0.18,NA,NA,NA,NA,0.094,0.599,0.07,0.03,NA,NA,NA,NA,NA,NA,Table 1; Text pg 338,AST,"poisson model (latent scale); # id/pedigree calculated as the number of females + males + max(sires) + max(dams), meaning that it might be underestimated; data-scale heritability extracted (see pg 335 and 338); # id w records set to 396 instead of 412 because only 396 survived until the last day of the experiment; Trait SD calculated from reported SE as sd = se*sqrt(396); V other 1 = Cohort, V other 2 = observation id",DF,"63 sires, 93 dams, 280 families. Include additional V other of 0.18 for Poisson variance?","#sires and #dams changed to 63 and 94, respectively; #families changed to NA; depth of pedigree changed to 1 because only F1 available",non_transf,NA,poisson_loglink,link,NA,Chorthippus biguttulus,Bielefeld_DE,6,Revise,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0.599,5.04,NA,NA,NA,2019
IGE0202,105,106,1998-2013,Sus scrofa,mammals,"Goland sire line, Gorzagri, Italy",captive,experimental,both,ad,NA,9871,9871,293,456,1839,6,body weight 270 days,morphology,no,164.2,no,13.3,NA,no,yes,6.12,60.205,1.28,NA,NA,3.527,8.292,NA,NA,NA,NA,96.631,NA,0.343,0.007,0,NA,0.152,NA,95.068,0.542,"Tables 1, 3-6",DF,"V other 1 is group (pen), V other 2 is family (litter). Give indirect heritability as 0.007.",FS,"the correlation between direct and social additive genetic effects (data not reported in tables) was not significantly different from 0 (P > 0.05) for BW270, so we could replace the NA; note that heritability here is direct, they also report social heritability (that should match the var IGE/VP",Changed r DGE-IGE to 0. Added note about indirect heritability,non_transf,NA,gaussian,NA,yes,Sus scrofa,Gorzagri_IT,7,Revise,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,164.2,NA,NA,NA,2015
IGE0202,106,107,1998-2013,Sus scrofa,mammals,"Goland sire line, Gorzagri, Italy",captive,experimental,both,ad,NA,8343,8343,293,456,1557,6,carcasss backfat depth,morphology,no,27,no,5,NA,no,yes,6.12,7.015,0.014,NA,NA,1.022,0.746,NA,NA,NA,NA,12.49,NA,0.332,0.001,NA,NA,-0.119,NA,6.156,0.292,"Tables 1, 3-6",DF,"V other 1 is group (pen), V other 2 is family (litter). Report indirect heritablity as 0.001",FS,"note that heritability here is direct, they also report social heritability (that should match the var IGE/VP",Added note about indirect heritability and entered value into social heritability,non_transf,NA,gaussian,NA,yes,Sus scrofa,Gorzagri_IT,7,Accept,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,27,NA,NA,NA,2015
IGE0202,107,108,1998-2013,Sus scrofa,mammals,"Goland sire line, Gorzagri, Italy",captive,experimental,both,ad,NA,4191,4191,293,456,850,6,carcass lean meat content,morphology,no,49.6,no,2.7,NA,no,yes,6.12,2.074,0.015,NA,NA,0.371,0.204,NA,NA,NA,NA,3.102,NA,0.372,0.003,-0.72,NA,-0.127,NA,1.176,0.211,"Tables 1, 3-6",DF,"V other 1 is group (pen), V other 2 is family (litter). Report indirect heritablity as 0.003",FS,"note that heritability here is direct, they also report social heritability (that should match the var IGE/VP",Added note about indirect heritability and entered value into social heritability,non_transf,NA,gaussian,NA,yes,Sus scrofa,Gorzagri_IT,7,Accept,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,49.6,NA,NA,NA,2015
IGE0202,108,109,1998-2013,Sus scrofa,mammals,"Goland sire line, Gorzagri, Italy",captive,experimental,both,ad,NA,6287,6287,293,456,1219,6,subcutaneous fat linoleic acid content,morphology,no,12.7,no,1.4,NA,no,yes,6.12,0.567,0.002,NA,NA,0.049,0.03,NA,NA,NA,NA,0.85,NA,0.383,0.001,NA,NA,-0.013,NA,0.479,0.324,"Tables 1, 3-6",DF,"V other 1 is group (pen), V other 2 is family (litter). Report indirect heritablity as 0.001.",FS,"note that heritability here is direct, they also report social heritability (that should match the var IGE/VP",Added note about indirect heritability and entered value into social heritability,non_transf,NA,gaussian,NA,yes,Sus scrofa,Gorzagri_IT,7,Accept,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,12.7,NA,NA,NA,2015
IGE0202,109,110,1998-2013,Sus scrofa,mammals,"Goland sire line, Gorzagri, Italy",captive,experimental,both,ad,NA,8055,8055,293,456,1733,6,iodine number,morphology,no,66.1,no,2.6,NA,no,yes,6.12,2.032,0.006,NA,NA,0.194,0.111,NA,NA,NA,NA,2.523,NA,0.427,0.001,-0.58,NA,-0.064,NA,1.532,0.322,"Tables 1, 3-6",DF,"V other 1 is group (pen), V other 2 is family (litter). Report indirect heritablity as 0.001",FS,"note that heritability here is direct, they also report social heritability (that should match the var IGE/VP)",Added note about indirect heritability and entered value into social heritability,non_transf,NA,gaussian,NA,yes,Sus scrofa,Gorzagri_IT,7,Accept,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,66.1,NA,NA,NA,2015
IGE0202,110,111,1998-2013,Sus scrofa,mammals,"Goland sire line, Gorzagri, Italy",captive,experimental,both,ad,NA,8996,8996,293,456,1794,6,ham subcutaneous fat depth (SFD1),morphology,no,19,no,14,NA,no,yes,6.12,8.106,0.014,NA,NA,1.357,0.403,NA,NA,NA,NA,15.275,NA,0.33,0.001,NA,NA,-0.318,NA,5.238,0.213,"Tables 1, 3-6",DF,"V other 1 is group (pen), V other 2 is family (litter). Report indirect heritablity as 0.001",FS,"note that heritability here is direct, they also report social heritability (that should match the var IGE/VP",Added note about indirect heritability and entered value into social heritability,non_transf,NA,gaussian,NA,yes,Sus scrofa,Gorzagri_IT,7,Accept,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,19,NA,NA,NA,2015
IGE0202,111,112,1998-2013,Sus scrofa,mammals,"Goland sire line, Gorzagri, Italy",captive,experimental,both,ad,NA,5200,5200,293,456,1023,6,ham subcutaneous fat depth (SFD2),morphology,no,6,no,1,NA,no,yes,6.12,0.359,0.003,NA,NA,0.006,0.012,NA,NA,NA,NA,0.446,NA,0.43,0.003,NA,NA,-0.001,NA,0.421,0.404,"Tables 1, 3-6",DF,"V other 1 is group (pen), V other 2 is family (litter). Report indirect heritablity as 0.003",FS,"note that heritability here is direct, they also report social heritability (that should match the var IGE/VP",Added note about indirect heritability and entered value into social heritability,non_transf,NA,gaussian,NA,yes,Sus scrofa,Gorzagri_IT,7,Accept,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,6,NA,NA,NA,2015
IGE0202,112,113,1998-2013,Sus scrofa,mammals,"Goland sire line, Gorzagri, Italy",captive,experimental,both,ad,NA,9362,9362,293,456,1787,6,round shape,morphology,no,1.78,no,0.85,NA,no,yes,6.12,0.235,4.00E-04,NA,NA,0.023,0.016,NA,NA,NA,NA,0.438,NA,0.338,0.001,-0.93,NA,-0.009,NA,0.153,0.22,"Tables 1, 3-6",DF,"V other 1 is group (pen), V other 2 is family (litter). Report indirect heritablity as 0.001",FS,"note that heritability here is direct, they also report social heritability (that should match the var IGE/VP",Added note about indirect heritability and entered value into social heritability,non_transf,NA,gaussian,NA,yes,Sus scrofa,Gorzagri_IT,7,Accept,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,1.78,NA,NA,NA,2015
IGE0202,113,114,1998-2013,Sus scrofa,mammals,"Goland sire line, Gorzagri, Italy",captive,experimental,both,ad,NA,9362,9362,293,456,1787,6,subcutanous fat,morphology,no,-0.11,no,1.69,NA,no,yes,6.12,0.982,0.003,NA,NA,0.119,0.073,NA,NA,NA,NA,1.582,NA,0.364,0.001,-0.64,NA,-0.035,NA,0.695,0.257,"Tables 1, 3-6",DF,"V other 1 is group (pen), V other 2 is family (litter). Report indirect heritablity as 0.001",FS,"note that heritability here is direct, they also report social heritability (that should match the var IGE/VP",Added note about indirect heritability and entered value into social heritability,non_transf,NA,gaussian,NA,yes,Sus scrofa,Gorzagri_IT,7,Accept,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,-0.11,NA,NA,NA,2015
IGE0202,114,115,1998-2013,Sus scrofa,mammals,"Goland sire line, Gorzagri, Italy",captive,experimental,both,ad,NA,9362,9362,293,456,1787,6,marbling,morphology,no,1.53,no,0.85,NA,no,yes,6.12,0.245,2.00E-04,NA,NA,0.035,0.018,NA,NA,NA,NA,0.368,NA,0.37,3.00E-04,NA,NA,-0.002,NA,0.225,0.34,"Tables 1, 3-6",DF,"V other 1 is group (pen), V other 2 is family (litter). Report indirect heritablity as 0.0003",FS,"note that heritability here is direct, they also report social heritability (that should match the var IGE/VP",Added note about indirect heritability and entered value into social heritability,non_transf,NA,gaussian,NA,yes,Sus scrofa,Gorzagri_IT,7,Accept,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,1.53,NA,NA,NA,2015
IGE0203,168,169,2009,Gadus morhua,fish,"Tromso, Norway",semicaptive,experimental,both,juv,2100,2058,2058,73,100,100,3,body weight at r2,morphology,no,42.17,no,13.8,NA,yes,yes,7,54.4,0.02,NA,NA,11.79,0,NA,NA,NA,NA,NA,178.7,NA,NA,0.31,NA,0.34,NA,76.77,0.43,"Table 1 for means, T5-7 for variances",MM,"V1=VARIANCE DUE TO COMMON REARING E
V2=variance of experimental tank
",FS,"check # sires and dams (it's different for the complete pedigree), as well as # of IDs in pedigree and ID w records","checked pedigree, include info on pedigree for this study, not for the complete",non_transf,NA,gaussian,NA,yes,Gadus morhua,Tromso_NOR,8,Revise,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,178.7,42.17,NA,NA,NA,2014
IGE0203,169,170,2009,Gadus morhua,fish,"Tromso, Norway",semicaptive,experimental,both,juv,2100,2063,2063,73,100,100,3,body weight at r3,morphology,no,63.55,no,20.9,NA,yes,yes,7,101.3,0.15,NA,NA,27.33,1.4,NA,NA,NA,NA,NA,408,NA,NA,0.05,NA,0.19,NA,169,0.41,"Table 1 for means, T5-7 for variances",MM,"V1=VARIANCE DUE TO COMMON REARING E
V2=variance of experimental tank
",FS,"check # sires and dams (it's different for the complete pedigree), as well as # of IDs in pedigree and ID w records","checked pedigree, include info on pedigree for this study, not for the complete",non_transf,NA,gaussian,NA,yes,Gadus morhua,Tromso_NOR,8,Revise,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,408,63.55,NA,NA,NA,2014
IGE0203,170,171,2009,Gadus morhua,fish,"Tromso, Norway",semicaptive,experimental,both,juv,2100,2046,2046,73,100,100,3,specific growth rate,development,no,1.45,no,0.51,NA,yes,yes,7,0.03,0.00019,NA,NA,0.02,0.01,NA,NA,NA,NA,NA,0.26,NA,NA,-0.25,NA,0.00014,NA,0.04,0.16,"Table 1 for means, T5-7 for variances",MM,"V1=VARIANCE DUE TO COMMON REARING E
V2=variance of experimental tank
",FS,"check # sires and dams (it's different for the complete pedigree), as well as # of IDs in pedigree and ID w records","checked pedigree, include info on pedigree for this study, not for the complete",non_transf,NA,gaussian,NA,yes,Gadus morhua,Tromso_NOR,8,Revise,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.26,1.45,NA,NA,NA,2014
IGE0203,171,172,2009,Gadus morhua,fish,"Tromso, Norway",semicaptive,experimental,both,juv,2100,1999,1999,73,100,100,3,change in condition factor,metabolism & physiology,no,0.00074,no,0.1,NA,yes,yes,7,0.001,3.00E-06,NA,NA,0,3.00E-04,NA,NA,NA,NA,NA,0.01,NA,NA,-0.08,NA,5.30E-05,NA,0.002,0.22,"Table 1 for means, T5-7 for variances",MM,"V1=VARIANCE DUE TO COMMON REARING E
V2=variance of experimental tank
",FS,"check # sires and dams (it's different for the complete pedigree), as well as # of IDs in pedigree and ID w records","checked pedigree, include info on pedigree for this study, not for the complete",non_transf,NA,gaussian,NA,yes,Gadus morhua,Tromso_NOR,8,Revise,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.01,0.00074,NA,NA,NA,2014
IGE0203,172,173,2009,Gadus morhua,fish,"Tromso, Norway",semicaptive,experimental,both,juv,2100,1948,1948,73,100,100,3,first dorsal length at r1,morphology,no,1.37,no,0.31,NA,yes,yes,7,7.19,0.007,NA,NA,0.48,0.21,NA,NA,NA,NA,NA,10.22,NA,NA,-0.41,NA,0,NA,6.93,0.68,"Table 1 for means, T5-7 for variances",MM,"V1=VARIANCE DUE TO COMMON REARING E
V2=variance of experimental tank
",FS,"check # sires and dams (it's different for the complete pedigree), as well as # of IDs in pedigree and ID w records","checked pedigree, include info on pedigree for this study, not for the complete",non_transf,NA,gaussian,NA,yes,Gadus morhua,Tromso_NOR,8,Revise,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,10.22,1.37,NA,NA,NA,2014
