"Paper_id","Record_id","Year","Species_name","Taxon","Population","Population_type","Study_type","Sex","Age","N_id_pedigree","N_records","N_id_w_records","N_sires","N_dams","N_families","Depth_of_ped","Trait_name","Trait_category","Mean_standardized","Trait_mean","Variance_standardized","Trait_sd","Treatment_group","Fixed_eff_of_partner_trait","Other_fixed_eff","Mean_group_size","Va","V_ige","Vpe_foc","Vpe_soc","V_other_1","V_other_2","V_other_3","V_other_4","V_other_5","V_other_6","V_residual","Total_v_phen","H2","Social_h2","R_a_ige","R_pe_pe_soc","Cov_a_ige","Cov_pe_pe_soc","V_tbv","T2","Data_location","Screener_id","Notes","Second_screener_id","Second_screener_notes","Changes_after_second_screening","Data_transf","Trait_mean_transf","Trait_error_distrib","Estimates_scale_nongauss","Vp_group_formula","Species_name.2","Population2","Group_id","Second_screener_original_decision","Total_v_phen2","Trait_mean2","Reported_values_flag","Excluded_after_control","social_h2","Year_of_Publication","Total_v_phen_calc","Total_v_phen3","Social_h2_calc","Social_h2_2","H2_calc","Social_h2_2_Zr","VZr","Social_h2_Zr","V_tbv_calc","V_ige_2","V_tbv_calc_2","V_tbv_2","T2_calc","direct_social","dat4A_herit","dat_weights","Record_id_long","Species_name.2.phylo"
"IGE0195","47","2005-2010","Sus scrofa","mammals",NA,"captive","experimental","both","ad",NA,6200,6200,295,1146,NA,5,"growth rate","development","no",898.9,"no",118.06,NA,"no","yes",6.95,2523,34.9,NA,NA,414.5,1038,1065,NA,NA,NA,6154,11506,NA,NA,-0.16,NA,-46.8,NA,3202,0.28,"Table 6","AST","age unclear from paper but seems to covered both stages according to what it written in pg 2471; V other 1 = group id, V other 2 = compartment id, V other 3 = litter id","FS","not sure that litter can be considered family, discuss and maybe leave NA; ","# families set to NA after discussing it among observers","non_transf",NA,"gaussian",NA,"yes","Sus scrofa","PigGenetics_NL","3","Revise",11506,898.9,NA,NA,NA,2012,NA,11506,0.00303320006952894,0.00303320006952894,0.219276899009213,0.003,0.000161368404066484,NA,3201.62725,34.9,3201.62725,3202,0.278289588041022,"H2_2",0.219276899009213,8.73230457103318,11,"Sus scrofa"
"IGE0195","47","2005-2010","Sus scrofa","mammals",NA,"captive","experimental","both","ad",NA,6200,6200,295,1146,NA,5,"growth rate","development","no",898.9,"no",118.06,NA,"no","yes",6.95,2523,34.9,NA,NA,414.5,1038,1065,NA,NA,NA,6154,11506,NA,NA,-0.16,NA,-46.8,NA,3202,0.28,"Table 6","AST","age unclear from paper but seems to covered both stages according to what it written in pg 2471; V other 1 = group id, V other 2 = compartment id, V other 3 = litter id","FS","not sure that litter can be considered family, discuss and maybe leave NA; ","# families set to NA after discussing it among observers","non_transf",NA,"gaussian",NA,"yes","Sus scrofa","PigGenetics_NL","3","Revise",11506,898.9,NA,NA,NA,2012,NA,11506,0.00303320006952894,0.00303320006952894,0.219276899009213,0.003,0.000161368404066484,NA,3201.62725,34.9,3201.62725,3202,0.278289588041022,"T2_2",0.28,8.73230457103318,12,"Sus scrofa"
"IGE0196","25","1975-2014","Melospiza melodia","birds","Mandarte Island, BC, Canada","wild","observational","F","ad",1088,1040,518,NA,NA,NA,38,"breeding date","reproduction","no",107,"no",13,NA,"yes","yes",2,12.2,3.2,10.8,1e-04,76.4,3.6,NA,NA,NA,NA,58.8,165.2161,0.07,0.02,0.99,NA,NA,NA,NA,0.17,"Table 1","AST","as in IGE0348, pedigree from 1975-1992 neglects EPP because social data was used and seemingly only some recruits were also genetically id; authors do not specifically define who is the focal sex, but since they use breeding date, sex assigned to female; fixed eff of partner trait = male inbreeding coefficient and age; multiple spatial models, I chose the """"Grid"""" model simply because of showing the lowest residual variance; V other 1 = year, V other 2 = location","MM","MM: 1) authors state 1975-2014 as actual study years, I think I'd go with that, 2) pedigree depth is not given, 38 years is the total number of study years. 3) to consider that there is info in h2 male","Years changed to 1975-2014","non_transf",NA,"gaussian",NA,NA,"Melospiza melodia","MandarteIsland_CAN","4","Revise",165.2161,107,NA,NA,NA,2016,174.285714285714,165.2161,0.0193685724333161,0.02,0.0738426824020177,0.02,0.00194174757281553,0.02,NA,3.2,NA,NA,NA,"H2_2",0.07,6.24997524225948,13,"Melospiza melodia"
"IGE0196","25","1975-2014","Melospiza melodia","birds","Mandarte Island, BC, Canada","wild","observational","F","ad",1088,1040,518,NA,NA,NA,38,"breeding date","reproduction","no",107,"no",13,NA,"yes","yes",2,12.2,3.2,10.8,1e-04,76.4,3.6,NA,NA,NA,NA,58.8,165.2161,0.07,0.02,0.99,NA,NA,NA,NA,0.17,"Table 1","AST","as in IGE0348, pedigree from 1975-1992 neglects EPP because social data was used and seemingly only some recruits were also genetically id; authors do not specifically define who is the focal sex, but since they use breeding date, sex assigned to female; fixed eff of partner trait = male inbreeding coefficient and age; multiple spatial models, I chose the """"Grid"""" model simply because of showing the lowest residual variance; V other 1 = year, V other 2 = location","MM","MM: 1) authors state 1975-2014 as actual study years, I think I'd go with that, 2) pedigree depth is not given, 38 years is the total number of study years. 3) to consider that there is info in h2 male","Years changed to 1975-2014","non_transf",NA,"gaussian",NA,NA,"Melospiza melodia","MandarteIsland_CAN","4","Revise",165.2161,107,NA,NA,NA,2016,174.285714285714,165.2161,0.0193685724333161,0.02,0.0738426824020177,0.02,0.00194174757281553,0.02,NA,3.2,NA,NA,NA,"T2_2",0.17,6.24997524225948,14,"Melospiza melodia"
"IGE0197","117",NA,"Tribolium castaneum","arthropods","Wageningen, the Netherlands.","captive","experimental","both","juv",5987,4932,4932,2657,2657,126,3,"growth rate","development","no",2.32,"no",0.5,NA,"yes","yes",10,5.47e-05,1.25e-07,NA,NA,2.74e-06,NA,NA,NA,NA,NA,NA,0.000109,NA,NA,-0.201,NA,-5.27e-07,NA,5.53e-05,0.51,"Table 6 (model 3)","FS","#id w records is conservative (reported 5687 id with incomplete records in 3 traits, and 4932 with all); id in pedigree are reported in supmat but methods also say they include id with no pedigree, so not sure; means and SD for traits are reported in table 2 for the two pop separately; fixed effect of social is social sex effect (# male partners in vial); V other 1 is group; heritability is estimated in a different model (model 2)","DF","group size = mostly 10. Depth of ped = 3 perhaps, see Table A1. id in ped = 5987 based on summing numbers in Table A1. Also have # sires as 2657 and # dams as 2657. Don't think we should use the h2 est from table 5 as it is a different model.  cov A-IGE is -0.000000527, r A-IGE is -0.201 (Table 6).","updated group size, depth of ped, # id in ped, sires, dams,  cov A-IGE and r A-IGE, h2 set to NA, mean and SD of pop trait estimated from the two separated by pop ","non_transf",NA,"gaussian",NA,NA,"Tribolium castaneum","Wageningen_NL","5","Revise",0.000109,2.32,NA,NA,NA,2016,NA,0.000109,0.00114678899082569,0.00114678899082569,0.501834862385321,0.001,0.000202880908906472,NA,5.5339e-05,1.25e-07,5.5339e-05,5.53e-05,0.507339449541284,"H2_2",0.501834862385321,8.50349986428423,15,"Tribolium castaneum"
"IGE0197","117",NA,"Tribolium castaneum","arthropods","Wageningen, the Netherlands.","captive","experimental","both","juv",5987,4932,4932,2657,2657,126,3,"growth rate","development","no",2.32,"no",0.5,NA,"yes","yes",10,5.47e-05,1.25e-07,NA,NA,2.74e-06,NA,NA,NA,NA,NA,NA,0.000109,NA,NA,-0.201,NA,-5.27e-07,NA,5.53e-05,0.51,"Table 6 (model 3)","FS","#id w records is conservative (reported 5687 id with incomplete records in 3 traits, and 4932 with all); id in pedigree are reported in supmat but methods also say they include id with no pedigree, so not sure; means and SD for traits are reported in table 2 for the two pop separately; fixed effect of social is social sex effect (# male partners in vial); V other 1 is group; heritability is estimated in a different model (model 2)","DF","group size = mostly 10. Depth of ped = 3 perhaps, see Table A1. id in ped = 5987 based on summing numbers in Table A1. Also have # sires as 2657 and # dams as 2657. Don't think we should use the h2 est from table 5 as it is a different model.  cov A-IGE is -0.000000527, r A-IGE is -0.201 (Table 6).","updated group size, depth of ped, # id in ped, sires, dams,  cov A-IGE and r A-IGE, h2 set to NA, mean and SD of pop trait estimated from the two separated by pop ","non_transf",NA,"gaussian",NA,NA,"Tribolium castaneum","Wageningen_NL","5","Revise",0.000109,2.32,NA,NA,NA,2016,NA,0.000109,0.00114678899082569,0.00114678899082569,0.501834862385321,0.001,0.000202880908906472,NA,5.5339e-05,1.25e-07,5.5339e-05,5.53e-05,0.507339449541284,"T2_2",0.51,8.50349986428423,16,"Tribolium castaneum"
"IGE0202","106","1998-2013","Sus scrofa","mammals","Goland sire line, Gorzagri, Italy","captive","experimental","both","ad",NA,9871,9871,293,456,1839,6,"body weight 270 days","morphology","no",164.2,"no",13.3,NA,"no","yes",6.12,60.205,1.28,NA,NA,3.527,8.292,NA,NA,NA,NA,96.631,NA,0.343,0.007,0,NA,0.152,NA,95.068,0.542,"Tables 1, 3-6","DF","V other 1 is group (pen), V other 2 is family (litter). Give indirect heritability as 0.007.","FS","the correlation between direct and social additive genetic effects (data not reported in tables) was not significantly different from 0 (P > 0.05) for BW270, so we could replace the NA; note that heritability here is direct, they also report social heritability (that should match the var IGE/VP","Changed r DGE-IGE to 0. Added note about indirect heritability","non_transf",NA,"gaussian",NA,"yes","Sus scrofa","Gorzagri_IT","7","Revise",NA,164.2,NA,NA,NA,2015,175.524781341108,175.524781341108,0.00729241757329126,0.007,0.343,0.007,0.000101337657073368,0.007,95.315912,1.28,95.315912,95.068,0.541621526451291,"H2_2",0.343,9.19735644441789,17,"Sus scrofa"
"IGE0202","106","1998-2013","Sus scrofa","mammals","Goland sire line, Gorzagri, Italy","captive","experimental","both","ad",NA,9871,9871,293,456,1839,6,"body weight 270 days","morphology","no",164.2,"no",13.3,NA,"no","yes",6.12,60.205,1.28,NA,NA,3.527,8.292,NA,NA,NA,NA,96.631,NA,0.343,0.007,0,NA,0.152,NA,95.068,0.542,"Tables 1, 3-6","DF","V other 1 is group (pen), V other 2 is family (litter). Give indirect heritability as 0.007.","FS","the correlation between direct and social additive genetic effects (data not reported in tables) was not significantly different from 0 (P > 0.05) for BW270, so we could replace the NA; note that heritability here is direct, they also report social heritability (that should match the var IGE/VP","Changed r DGE-IGE to 0. Added note about indirect heritability","non_transf",NA,"gaussian",NA,"yes","Sus scrofa","Gorzagri_IT","7","Revise",NA,164.2,NA,NA,NA,2015,175.524781341108,175.524781341108,0.00729241757329126,0.007,0.343,0.007,0.000101337657073368,0.007,95.315912,1.28,95.315912,95.068,0.541621526451291,"T2_2",0.542,9.19735644441789,18,"Sus scrofa"
"IGE0202","107","1998-2013","Sus scrofa","mammals","Goland sire line, Gorzagri, Italy","captive","experimental","both","ad",NA,8343,8343,293,456,1557,6,"carcasss backfat depth","morphology","no",27,"no",5,NA,"no","yes",6.12,7.015,0.014,NA,NA,1.022,0.746,NA,NA,NA,NA,12.49,NA,0.332,0.001,NA,NA,-0.119,NA,6.156,0.292,"Tables 1, 3-6","DF","V other 1 is group (pen), V other 2 is family (litter). Report indirect heritablity as 0.001","FS","note that heritability here is direct, they also report social heritability (that should match the var IGE/VP","Added note about indirect heritability and entered value into social heritability","non_transf",NA,"gaussian",NA,"yes","Sus scrofa","Gorzagri_IT","7","Accept",NA,27,NA,NA,NA,2015,21.1295180722892,21.1295180722892,0.000662580185317178,0.001,0.332,0.001,0.000119904076738609,0.001,6.1634416,0.014,6.1634416,6.156,0.291345972915182,"H2_2",0.332,9.02917814290207,19,"Sus scrofa"
"IGE0202","107","1998-2013","Sus scrofa","mammals","Goland sire line, Gorzagri, Italy","captive","experimental","both","ad",NA,8343,8343,293,456,1557,6,"carcasss backfat depth","morphology","no",27,"no",5,NA,"no","yes",6.12,7.015,0.014,NA,NA,1.022,0.746,NA,NA,NA,NA,12.49,NA,0.332,0.001,NA,NA,-0.119,NA,6.156,0.292,"Tables 1, 3-6","DF","V other 1 is group (pen), V other 2 is family (litter). Report indirect heritablity as 0.001","FS","note that heritability here is direct, they also report social heritability (that should match the var IGE/VP","Added note about indirect heritability and entered value into social heritability","non_transf",NA,"gaussian",NA,"yes","Sus scrofa","Gorzagri_IT","7","Accept",NA,27,NA,NA,NA,2015,21.1295180722892,21.1295180722892,0.000662580185317178,0.001,0.332,0.001,0.000119904076738609,0.001,6.1634416,0.014,6.1634416,6.156,0.291345972915182,"T2_2",0.292,9.02917814290207,20,"Sus scrofa"
"IGE0202","108","1998-2013","Sus scrofa","mammals","Goland sire line, Gorzagri, Italy","captive","experimental","both","ad",NA,4191,4191,293,456,850,6,"carcass lean meat content","morphology","no",49.6,"no",2.7,NA,"no","yes",6.12,2.074,0.015,NA,NA,0.371,0.204,NA,NA,NA,NA,3.102,NA,0.372,0.003,-0.72,NA,-0.127,NA,1.176,0.211,"Tables 1, 3-6","DF","V other 1 is group (pen), V other 2 is family (litter). Report indirect heritablity as 0.003","FS","note that heritability here is direct, they also report social heritability (that should match the var IGE/VP","Added note about indirect heritability and entered value into social heritability","non_transf",NA,"gaussian",NA,"yes","Sus scrofa","Gorzagri_IT","7","Accept",NA,49.6,NA,NA,NA,2015,5.5752688172043,5.5752688172043,0.00269045323047252,0.003,0.372,0.003,0.000238777459407832,0.003,1.166736,0.015,1.166736,1.176,0.210931533269045,"H2_2",0.372,8.34069464792507,21,"Sus scrofa"
"IGE0202","108","1998-2013","Sus scrofa","mammals","Goland sire line, Gorzagri, Italy","captive","experimental","both","ad",NA,4191,4191,293,456,850,6,"carcass lean meat content","morphology","no",49.6,"no",2.7,NA,"no","yes",6.12,2.074,0.015,NA,NA,0.371,0.204,NA,NA,NA,NA,3.102,NA,0.372,0.003,-0.72,NA,-0.127,NA,1.176,0.211,"Tables 1, 3-6","DF","V other 1 is group (pen), V other 2 is family (litter). Report indirect heritablity as 0.003","FS","note that heritability here is direct, they also report social heritability (that should match the var IGE/VP","Added note about indirect heritability and entered value into social heritability","non_transf",NA,"gaussian",NA,"yes","Sus scrofa","Gorzagri_IT","7","Accept",NA,49.6,NA,NA,NA,2015,5.5752688172043,5.5752688172043,0.00269045323047252,0.003,0.372,0.003,0.000238777459407832,0.003,1.166736,0.015,1.166736,1.176,0.210931533269045,"T2_2",0.211,8.34069464792507,22,"Sus scrofa"
"IGE0202","109","1998-2013","Sus scrofa","mammals","Goland sire line, Gorzagri, Italy","captive","experimental","both","ad",NA,6287,6287,293,456,1219,6,"subcutaneous fat linoleic acid content","morphology","no",12.7,"no",1.4,NA,"no","yes",6.12,0.567,0.002,NA,NA,0.049,0.03,NA,NA,NA,NA,0.85,NA,0.383,0.001,NA,NA,-0.013,NA,0.479,0.324,"Tables 1, 3-6","DF","V other 1 is group (pen), V other 2 is family (litter). Report indirect heritablity as 0.001.","FS","note that heritability here is direct, they also report social heritability (that should match the var IGE/VP","Added note about indirect heritability and entered value into social heritability","non_transf",NA,"gaussian",NA,"yes","Sus scrofa","Gorzagri_IT","7","Accept",NA,12.7,NA,NA,NA,2015,1.48041775456919,1.48041775456919,0.00135097001763668,0.001,0.383,0.001,0.000159134309357097,0.001,0.4863088,0.002,0.4863088,0.479,0.323557319223986,"H2_2",0.383,8.74623928838306,23,"Sus scrofa"
"IGE0202","109","1998-2013","Sus scrofa","mammals","Goland sire line, Gorzagri, Italy","captive","experimental","both","ad",NA,6287,6287,293,456,1219,6,"subcutaneous fat linoleic acid content","morphology","no",12.7,"no",1.4,NA,"no","yes",6.12,0.567,0.002,NA,NA,0.049,0.03,NA,NA,NA,NA,0.85,NA,0.383,0.001,NA,NA,-0.013,NA,0.479,0.324,"Tables 1, 3-6","DF","V other 1 is group (pen), V other 2 is family (litter). Report indirect heritablity as 0.001.","FS","note that heritability here is direct, they also report social heritability (that should match the var IGE/VP","Added note about indirect heritability and entered value into social heritability","non_transf",NA,"gaussian",NA,"yes","Sus scrofa","Gorzagri_IT","7","Accept",NA,12.7,NA,NA,NA,2015,1.48041775456919,1.48041775456919,0.00135097001763668,0.001,0.383,0.001,0.000159134309357097,0.001,0.4863088,0.002,0.4863088,0.479,0.323557319223986,"T2_2",0.324,8.74623928838306,24,"Sus scrofa"
