"key","title","authors","journal","issn","volume","issue","pages","year","publisher","url","abstract"
"X.ISI.000238377200013","A framework for community and ecosystem genetics: from genes to ecosystems","Whitham, Thomas G. and Bailey, Joseph K. and Schweitzer, Jennifer A. and Shuster, Stephen M. and Bangert, Randy K. and LeRoy, Carri J. and Lonsdorf, Eric V. and Allan, Gery J. and DiFazio, Stephen P. and Potts, Brad M. and Fischer, Dylan G. and Gehring, Catherine A. and Lindroth, Richard L. and Marks, Jane C. and Hart, Stephen C. and Wimp, Gina M. and Wooley, Stuart C.","NATURE REVIEWS GENETICS","1471-0056","7","7","510-523",2006,"NATURE PUBLISHING GROUP","10.1038/nrg1877","Can heritable traits in a single species affect an entire ecosystem? Recent studies show that such traits in a common tree have predictable effects on community structure and ecosystem processes. Because these `community and ecosystem phenotypes' have a genetic basis and are heritable, we can begin to apply the principles of population and quantitative genetics to place the study of complex communities and ecosystems within an evolutionary framework. This framework could allow us to understand, for the first time, the genetic basis of ecosystem processes, and the effect of such phenomena as climate change and introduced transgenic organisms on entire communities."
"Engqvist20131396","A general description of additive and nonadditive elements of sperm competitiveness and their relation to male fertilization success","Engqvist, L.","Evolution","00143820","67","5","1396-1405",2013,"","10.1111/evo.12024","A complete understanding of male reproductive success, and thus sexual selection, often requires an insight into male success in sperm competition. Genuine conclusions on male sperm competitiveness can only be made in real competitive situations. However, statistical analyses of sperm competitiveness from fertilization success data have been shown to be problematic. Here, I first outline a comprehensive general description of the different additive and nonadditive elements relevant for the outcome of sperm competition staged between two males. Based on this description, I will highlight two main problems that are frequently encountered in experiments aiming at estimating sperm competitiveness. First, I focus on potential problems when using standardized competitors versus random mating trials, because trials with standardized competitors do not allow generalization if male-male interactions are important. Second, I illustrate the necessity to analyze data on the logit scale rather than on raw proportions, because only the logit scale allows a clean separation of additive and nonadditive effects (i.e., male  male and female  male interactions).  2012 The Author(s). Evolution  2012 The Society for the Study of Evolution."
"Brichette2001155","A genetic analysis of intraspecific competition for growth in mussel cultures","Brichette, I. and Reyero, M.I. and Garca, C.","Aquaculture","00448486","192","2-4","155-169",2001,"","10.1016/S0044-8486(00)00439-7","In domestic organisms that are cultured in situations where competition for resources exists, the effect of an individual on the overall yield of the population depends not only on its own growth in the face of competition, but also on its competitive influence on its neighbours' growth. The genetic variability of this influence may be very important and therefore useful in a breeding plan, but is seldom estimated in practice. In this study, we carried out a genetic analysis of the intraspecific competition for growth in cultured mussels, and found that the family genotype had a clear effect on both the competitive influence of each individual on its neighbours, and its response to the competition from them. The limited number of male and female parents available for the experiment prevented a very precise partition of this genetic variability in additive and dominant variances, but in any case the heritability estimates obtained tended to be low (about 10% overall). These low heritabilities could still result in significant responses to artificial selection, given the high selection pressures that can be applied in bivalve molluscs. In addition, and in contrast with what usually happens in plants, the correlation between both kinds of effects in our mussel population was clearly greater than -1, which could allow the use of artificial selection to increase the ability to grow at high population densities and simultaneously to reduce the competitive interference between neighbours. 2001 Elsevier Science B.V."
"Bargum20049","A genetic component to size in queens of the ant, Formica truncorum","Bargum, K. and Boomsma, J.J. and Sundstrm, L.","Behavioral Ecology and Sociobiology","03405443","57","1","9-16",2004,"","10.1007/s00265-004-0836-z","The genetic basis of morphological traits in social insects remains largely unexplored. This is even true for individual body size, a key life-history trait. In the social insects, the size of reproductive individuals affects dispersal decisions, so that small size in queens is often associated with reduced dispersal, and large size with long-range dispersal and independent colony founding. Worker size is connected to division of labour when workers specialize in certain tasks according to their size. In many species, variation in worker size has been shown to increase colony performance. In this study, we present the first evidence of an additive genetic component to queen size in ants, using maternal half sib analysis. We also compared intra-colony size variation in colonies with high (queen doubly mated) versus low (queen singly mated) genetic variability. We found a high and significant heritability (h 2=0.51) for queen size in one of the two study years, but not in the other. Size variation among queens was greater in colonies headed by a doubly mated queen in one of the study years, but not in the other. This indicates that genetic factors can influence queen size, but that environmental factors may override these under some circumstances. The heritability for worker size was low (h2=0.09) and non-significant. Increased genetic diversity did not increase worker size variation in the colonies. Worker size appeared largely environmentally determined, potentially allowing colonies to adjust worker size ratios to current conditions.  Springer-Verlag 2004."
"Foucaud2013","A genetic polymorphism affecting reliance on personal versus public information in a spatial learning task in Drosophila melanogaster","Foucaud, J. and Philippe, A.-S. and Moreno, C. and Mery, F.","Proceedings of the Royal Society B: Biological Sciences","09628452","280","1760",NA,2013,"","10.1098/rspb.2013.0588","Organisms that face behavioural challenges can use different types of information to guide their decisions. First, they can use the personal information they sample in their environment. Second, they can use the inadvertent social information provided by the behaviour of conspecifics or heterospecifics (i.e. public information). Currently, little is known about the interaction between genetic variation and the use of personal versus public information in natural populations. Here, we investigated whether a natural genetic polymorphism affects the use of personal versus public information in a spatial learning task in Drosophila melanogaster. We found that genetic variation at the foraging locus interacts with social context during spatial learning. While both allelic variants are able to use personal and public information to improve their navigation during 10 training trials, a probe trial revealed that individuals carrying the forR (rover) allele rely mainly on personal information, whereas individuals carrying the fors (sitter) allele either use or display more public information than rovers. Accordingly, transfer of social information is more important in groups of sitters than in groups of rovers. These results suggest that a positive feedback loop can occur between alleles promoting group living, such as fors, and the use and/or display of public information, ultimately providing the opportunity for the joint evolution of sociality and cultural traits.  2013 The Author(s) Published by the Royal Society. All rights reserved."
"X.ISI.000345985200014","A genetic study on sexual dimorphism of bodyweight in sheep","Ghafouri-Kesbi, Farhad and Mianji, Ghodratollah Rahimi and Pirsaraei, Zarbakht Ansari and Hafezian, Seyed Hasan and Baneh, Hasan and Soleimani, Bijan","ANIMAL PRODUCTION SCIENCE","1836-0939","55","1","101-106",2015,"CSIRO PUBLISHING","10.1071/AN13316","The aim of the present study was to investigate the genetic basis of sexual dimorphism of bodyweight in Zandi sheep. To do this, a pedigree including 1450 dams and 170 sires was used. Six bivariate animal models were applied for investigating direct and maternal effects for three age-specific bodyweights (bodyweight at birth, 3 and 6 months of age) in male and female Zandi lambs. The variance components were estimated via REML procedure. Males were, respectively, 6\%, 7\% and 9\% heavier than females at birth, weaning and 6 months of age. Estimates of sexual dimorphism levels (expressed as M/F) were 1.11 at birth, 1.07 at weaning and 1.09 at 6 months of age, which indicated relatively low levels of sexual size dimorphism in the traits studied. Except for birthweight, for which estimates of additive genetic, residual and phenotypic variances as well as direct heritability and additive coefficient of variation were higher in females, for other traits studied, estimates were higher in males. However, regarding direct and maternal effects, none of the differences between the sexes was significant, indicating no need for sexual selection. Cross-sex genetic correlations were 0.862 at birth, 0.918 at weaning and 0.922 at 6 months of age, which highlighted birthweight as the most dimorphic trait. It was concluded that, owing to possible contribution of sexual chromosomes to variation of growth-related traits, bodyweight in male and female lambs may not be under the exactly same genetic control."
"X.ISI.000430737700002","A genome-wide association study of social genetic effects in Landrace pigs","Hong, Joon Ki and Jeong, Yong Dae and Cho, Eun Seok and Choi, Tae Jeong and Kim, Yong Min and Cho, Kyu Ho and Lee, Jae Bong and Lim, Hyun Tae and Lee, Deuk Hwan","ASIAN-AUSTRALASIAN JOURNAL OF ANIMAL SCIENCES","1011-2367","31","6","784-790",2018,"ASIAN-AUSTRALASIAN ASSOC ANIMAL PRODUCTION SOC","10.5713/ajas.17.0440","Objective: The genetic effects of an individual on the phenotypes of its social partners, such as its pen mates, are known as social genetic effects. This study aims to identify the candidate genes for social (pen-mates') average daily gain (ADG) in pigs by using the genome-wide association approach. Methods: Social ADG (sADG) was the average ADG of unrelated pen-mates (strangers). We used the phenotype data (16,802 records) after correcting for batch (week), sex, pen, number of strangers (1 to 7 pigs) in the pen, full-sib rate (0\% to 80\%) within pen, and age at the end of the test. A total of 1,041 pigs from Landrace breeds were genotyped using the Illumina PorcineSNP60 v2 BeadChip panel, which comprised 61,565 single nucleotide polymorphism (SNP) markers. After quality control, 909 individuals and 39,837 markers remained for sADG in genome-wide association study. Results: We detected five new SNPs, all on chromosome 6, which have not been associated with social ADG or other growth traits to date. One SNP was inside the prostaglandin F2 alpha receptor (PTGFR) gene, another SNP was located 22 kb upstream of gene interferon-induced protein 44 (IFI44), and the last three SNPs were between 161 kb and 191 kb upstream of the EGF latrophilin and seven transmembrane domain-containing protein 1 (ELTD1) gene. PTGFR, IFI44, and ELTD1 were never associated with social interaction and social genetic effects in any of the previous studies. Conclusion: The identification of several genomic regions, and candidate genes associated with social genetic effects reported here, could contribute to a better understanding of the genetic basis of interaction traits for ADG. In conclusion, we suggest that the PTGFR, IFI44, and ELTD1 may be used as a molecular marker for sADG, although their functional effect was not defined yet. Thus, it will be of interest to execute association studies in those genes."
"Thomson2018","A guide to using a Multiple-Matrix animal model to disentangle genetic and nongenetic causes of phenotypic variance","Thomson, C.E. and Winney, I.S. and Salles, O.C. and Pujol, B.","PLoS ONE","19326203","13","10",NA,2018,"","10.1371/journal.pone.0197720","Non-genetic influences on phenotypic traits can affect our interpretation of genetic variance and the evolutionary potential of populations to respond to selection, with consequences for our ability to predict the outcomes of selection. Long-term population surveys and experiments have shown that quantitative genetic estimates are influenced by nongenetic effects, including shared environmental effects, epigenetic effects, and social interactions. Recent developments to the ""animal model"" of quantitative genetics can now allow us to calculate precise individual-based measures of non-genetic phenotypic variance. These models can be applied to a much broader range of contexts and data types than used previously, with the potential to greatly expand our understanding of nongenetic effects on evolutionary potential. Here, we provide the first practical guide for researchers interested in distinguishing between genetic and nongenetic causes of phenotypic variation in the animal model. The methods use matrices describing individual similarity in nongenetic effects, analogous to the additive genetic relatedness matrix. In a simulation of various phenotypic traits, accounting for environmental, epigenetic, or cultural resemblance between individuals reduced estimates of additive genetic variance, changing the interpretation of evolutionary potential. These variances were estimable for both direct and parental nongenetic variances. Our tutorial outlines an easy way to account for these effects in both wild and experimental populations. These models have the potential to add to our understanding of the effects of genetic and nongenetic effects on evolutionary potential. This should be of interest both to those studying heritability, and those who wish to understand nongenetic variance.  This is an open access article, free of all copyright, and may be freely reproduced, distributed, transmitted, modified, built upon, or otherwise used by anyone for any lawful purpose. The work is made available under the Creative Commons CC0 public domain dedication."
"Schrader2016329","A limit on the extent to which increased egg size can compensate for a poor postnatal environment revealed experimentally in the burying beetle, Nicrophorus vespilloides","Schrader, M. and Crosby, R.M. and Hesketh, A.R. and Jarrett, B.J.M. and Kilner, R.M.","Ecology and Evolution","20457758","6","1","329-336",2016,"","10.1002/ece3.1876","It is often assumed that there is a positive relationship between egg size and offspring fitness. However, recent studies have suggested that egg size has a greater effect on offspring fitness in low-quality environments than in high-quality environments. Such observations suggest that mothers may compensate for poor posthatching environments by increasing egg size. In this paper we test whether there is a limit on the extent to which increased egg size can compensate for the removal of posthatching parental care in the burying beetle, Nicrophorus vespilloides. Previous experiments with N. vespilloides suggest that an increased egg size can compensate for a relatively poor environment after hatching. Here, we phenotypically engineered female N. vespilloides to produce large or small eggs by varying the amount of time they were allowed to feed on the carcass as larvae. We then tested whether differences between these groups in egg size translated into differences in larval performance in a harsh postnatal environment that excluded parental care. We found that females engineered to produce large eggs did not have higher breeding success, and nor did they produce larger larvae than females engineered to produce small eggs. These results suggest that there is a limit on the extent to which increased maternal investment in egg size can compensate for a poor posthatching environment. We discuss the implication of our results for a recent study showing that experimental N. vespilloides populations can adapt rapidly to the absence of posthatching parental care.  2016 Published by John Wiley & Sons Ltd."
"X.ISI.000405342000001","A model to estimate effects of SNPs on host susceptibility and infectivity for an endemic infectious disease","Biemans, Floor and de Jong, Mart C. M. and Bijma, Piter","GENETICS SELECTION EVOLUTION","0999-193X","49",NA,NA,2017,"BMC","10.1186/s12711-017-0327-0","Background: Infectious diseases in farm animals affect animal health, decrease animal welfare and can affect human health. Selection and breeding of host individuals with desirable traits regarding infectious diseases can help to fight disease transmission, which is affected by two types of (genetic) traits: host susceptibility and host infectivity. Quantitative genetic studies on infectious diseases generally connect an individual's disease status to its own genotype, and therefore capture genetic effects on susceptibility only. However, they usually ignore variation in exposure to infectious herd mates, which may limit the accuracy of estimates of genetic effects on susceptibility. Moreover, genetic effects on infectivity will exist as well. Thus, to design optimal breeding strategies, it is essential that genetic effects on infectivity are quantified. Given the potential importance of genetic effects on infectivity, we set out to develop a model to estimate the effect of single nucleotide polymorphisms (SNPs) on both host susceptibility and host infectivity. To evaluate the quality of the resulting SNP effect estimates, we simulated an endemic disease in 10 groups of 100 individuals, and recorded time-series data on individual disease status. We quantified bias and precision of the estimates for different sizes of SNP effects, and identified the optimum recording interval when the number of records is limited. Results: We present a generalized linear mixed model to estimate the effect of SNPs on both host susceptibility and host infectivity. SNP effects were on average slightly underestimated, i. e. estimates were conservative. Estimates were less precise for infectivity than for susceptibility. Given our sample size, the power to estimate SNP effects for susceptibility was 100\% for differences between genotypes of a factor 1.56 or more, and was higher than 60\% for infectivity for differences between genotypes of a factor 4 or more. When disease status was recorded 11 times on each animal, the optimal recording interval was 25 to 50\% of the average infectious period. Conclusions: Our model was able to estimate genetic effects on susceptibility and infectivity. In future genomewide association studies, it may serve as a starting point to identify genes that affect disease transmission and disease prevalence."
"Anacleto2015871","A novel statistical model to estimate host genetic effects affecting disease transmission","Anacleto, O. and Garcia-Corts, L.A. and Lipschutz-Powell, D. and Woolliams, J.A. and Doeschl-Wilson, A.B.","Genetics","00166731","201","3","871-884",2015,"","10.1534/genetics.115.179853","There is increasing recognition that genetic diversity can affect the spread of diseases, potentially affecting plant and livestock disease control as well as the emergence of human disease outbreaks. Nevertheless, even though computational tools can guide the control of infectious diseases, few epidemiological models can simultaneously accommodate the inherent individual heterogeneity in multiple infectious disease traits influencing disease transmission, such as the frequently modeled propensity to become infected and infectivity, which describes the host ability to transmit the infection to susceptible individuals. Furthermore, current quantitative genetic models fail to fully capture the heritable variation in host infectivity, mainly because they cannot accommodate the nonlinear infection dynamics underlying epidemiological data. We present in this article a novel statistical model and an inference method to estimate genetic parameters associated with both host susceptibility and infectivity. Our methodology combines quantitative genetic models of social interactions with stochastic processes to model the random, nonlinear, and dynamic nature of infections and uses adaptive Bayesian computational techniques to estimate the model parameters. Results using simulated epidemic data show that our model can accurately estimate heritabilities and genetic risks not only of susceptibility but also of infectivity, therefore exploring a trait whose heritable variation is currently ignored in disease genetics and can greatly influence the spread of infectious diseases. Our proposed methodology offers potential impacts in areas such as livestock disease control through selective breeding and also in predicting and controlling the emergence of disease outbreaks in human populations.  2015 by the Genetics Society of America."
"X.ISI.000455051900029","A pilot study to investigate the relationship between social behavior and serum metabolite concentration in finisher pigs","Dervishi, E. and van der Zande, L. and Reimert, I. and Mathur, P. and Knol, E. and Plastow, G.","JOURNAL OF ANIMAL SCIENCE","0021-8812","96","3","12",2018,"OXFORD UNIV PRESS INC",NA,NA
"X.ISI.000245301900006","A potential resolution to the lek paradox through indirect genetic effects","Miller, Christine W. and Moore, Allen J.","PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES","0962-8452","274","1615","1279-1286",2007,"ROYAL SOCIETY","10.1098/rspb.2006.0413","Females often prefer males with elaborate traits, even when they receive no direct benefits from their choice. In such situations, mate discrimination presumably has genetic advantages; selective females will produce offspring of higher genetic quality. Over time, persistent female preferences for elaborate secondary-sexual traits in males should erode genetic variance in these traits, eventually eliminating any benefit to the preferences. Yet, strong female preferences persist in many taxa. This puzzle is called the lek paradox and raises two primary questions: do females obtain genetic benefits for offspring by selecting males with elaborate secondary-sexual characteristics and, if so, how is the genetic variation in these male traits maintained? We suggest that indirect genetic effects may help to resolve the lek paradox. Maternal phenotypes, such as habitat selection behaviours and offspring provisioning, often influence the condition and the expression of secondary-sexual traits in sons. These maternal influences are commonly genetic based (i.e. they are indirect genetic effects). Females choosing mates with elaborate traits may receive `good genes' for daughters in the form of effective maternal characteristics. Recognizing the significance of indirect genetic effects may be important to our understanding of the process and consequences of sexual selection."
"X.ISI.000364325400002","A practical guide and power analysis for GLMMs: detecting among treatment variation in random effects","Kain, Morgan P. and Bolker, Ben M. and McCoy, MichaelW.","PEERJ","2167-8359","3",NA,NA,2015,"PEERJ INC","10.7717/peerj.1226","In ecology and evolution generalized linear mixed models (GLMMs) are becoming increasingly used to test for differences in variation by treatment at multiple hierarchical levels. Yet, the specific sampling schemes that optimize the power of an experiment to detect differences in random effects by treatment/group remain unknown. In this paper we develop a blueprint for conducting power analyses for GLMMs focusing on detecting differences in variance by treatment. We present parameterization and power analyses for random-intercepts and random-slopes GLMMs because of their generality as focal parameters for most applications and because of their immediate applicability to emerging questions in the field of behavioral ecology. We focus on the extreme case of hierarchically structured binomial data, though the framework presented here generalizes easily to any error distribution model. First, we determine the optimal ratio of individuals to repeated measures within individuals that maximizes power to detect differences by treatment in among-individual variation in intercept, among-individual variation in slope, and within-individual variation in intercept. Second, we explore how power to detect differences in target variance parameters is affected by total variation. Our results indicate heterogeneity in power across ratios of individuals to repeated measures with an optimal ratio determined by both the target variance parameter and total sample size. Additionally, power to detect each variance parameter was low overall (in most cases >1,000 total observations per treatment needed to achieve 80\% power) and decreased with increasing variance in non-target random effects. With growing interest in variance as the parameter of inquiry, these power analyses provide a crucial component for designing experiments focused on detecting differences in variance. We hope to inspire novel experimental designs in ecology and evolution investigating the causes and implications of individual-level phenotypic variance, such as the adaptive significance of within-individual variation."
"X.ISI.000186778400003","A predator's preference for egg-carrying prey: a novel cost of parental care","Li, DQ and Jackson, RR","BEHAVIORAL ECOLOGY AND SOCIOBIOLOGY","0340-5443","55","2","129-136",2003,"SPRINGER-VERLAG","10.1007/s00265-003-0689-x","Using a subsocial spitting spider (Scytodes pallida) as the prey and a spider-eating jumping spider (Portia labiata) as the predator, the cost of parental care is investigated. Our findings suggest that being singled out as preferred prey by P. labiata is, for egg-carrying females of S. pallida, an important cost of parental care. In survival tests, during which P. labiata was given access to egg-carrying and eggless S. pallida females, egg-carrying females were preyed on more often than eggless females. In preference tests, motionless lures instead of living S. pallida were used. The lures were made by mounting dead egg-carrying and dead eggless S. pallida females in lifelike posture in webs. In these tests, P. labiata detected and identified, by vision alone, both kinds of prey (egg-carrying and eggless), and singled out egg-carrying females as preferred prey."
